Player,School,Conf,G,XPM,XPA,XP%,FGM,FGA,FG%,Pts
Aaron Boumerhi,Temple,American,11,28,30,93.3,15,23,65.2,73
Josh Grant,Western Michigan,MAC,12,45,46,97.8,15,23,65.2,90
Alex Spence,Clemson,ACC,12,41,43,95.3,9,14,64.3,68
Freeman Jones,North Carolina,ACC,12,37,38,97.4,9,14,64.3,64
Jake Verity,East Carolina,American,12,35,36,97.2,16,25,64.0,83
Evan Rabon,Coastal Carolina,Sun Belt,12,30,31,96.8,12,19,63.2,66
Jordan Choukair,Oregon State,Pac-12,12,30,30,100.0,12,19,63.2,66
Tristan Vizcaino,Washington,Pac-12,13,48,51,94.1,12,19,63.2,84
Adam Mitcheson,Buffalo,MAC,12,37,40,92.5,15,24,62.5,82
Kaare Vedvik,Marshall,CUSA,13,41,42,97.6,10,16,62.5,71
Ryan Nuss,Western Kentucky,CUSA,13,39,40,97.5,10,16,62.5,69
Brent Cimaglia,Tennessee,SEC,5,3,3,100.0,8,13,61.5,27
Joshua Rowland,Texas,Big 12,11,38,38,100.0,11,18,61.1,71
Colton Lichtenberg,Boston College,ACC,13,40,43,93.0,12,20,60.0,76
Michael Rubino,Appalachian State,Sun Belt,7,21,23,91.3,9,15,60.0,48
Shane Hynes,Kent State,MAC,12,14,16,87.5,9,15,60.0,41
Henry Darmstadter,Maryland,Big Ten,11,31,31,100.0,7,12,58.3,52
Alex Kessman,Pitt,ACC,12,34,34,100.0,11,19,57.9,67
Christian Hagan,Northern Illinois,MAC,13,49,49,100.0,9,16,56.3,76
Morgan Hagee,Ball State,MAC,12,26,27,96.3,9,16,56.3,53
Parker White,South Carolina,SEC,11,26,26,100.0,14,25,56.0,68
Bennett Moehring,Navy,American,11,42,43,97.7,8,15,53.3,66
Tyler Davis,Penn State,Big Ten,13,71,71,100.0,9,17,52.9,98
Brandon Wright,Georgia State,Sun Belt,12,28,30,93.3,12,23,52.2,64
