Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
Ky'Jon Tyler,Coastal Carolina,Sun Belt,11,26,397,15.3,2,3,44,14.7,1,29,441,15.2,3
Trevon Brown,East Carolina,American,12,74,1123,15.2,9,1,-2,-2.0,0,75,1121,14.9,9
David Sills,West Virginia,Big 12,12,65,986,15.2,15,0,14,,0,65,1000,15.4,15
Marcus Simms,West Virginia,Big 12,11,46,699,15.2,2,1,5,5.0,0,47,704,15.0,2
Ja'Marcus Bradley,Louisiana,Sun Belt,14,40,608,15.2,10,1,5,5.0,0,41,613,15.0,10
James Price,Wyoming,MWC,10,26,395,15.2,1,2,10,5.0,0,28,405,14.5,1
John Ursua,Hawaii,MWC,13,89,1343,15.1,16,2,4,2.0,1,91,1347,14.8,17
Aaron Fuller,Washington,Pac-12,14,58,874,15.1,4,0,0,,0,58,874,15.1,4
Kyle Buss,Connecticut,American,11,32,482,15.1,3,0,0,,0,32,482,15.1,3
Tyler Johnson,Minnesota,Big Ten,13,78,1169,15.0,12,0,0,,0,78,1169,15.0,12
Rico Bussey Jr.,North Texas,CUSA,12,68,1017,15.0,12,0,0,,0,68,1017,15.0,12
Shi Smith,South Carolina,SEC,11,45,673,15.0,4,0,0,,0,45,673,15.0,4
Kawaan Baker,South Alabama,Sun Belt,12,33,494,15.0,4,59,251,4.3,9,92,745,8.1,13
Sadiq Palmer,Massachusetts,Ind,10,28,419,15.0,2,0,0,,0,28,419,15.0,2
N'Keal Harry,Arizona State,Pac-12,12,73,1088,14.9,9,7,10,1.4,1,80,1098,13.7,10
Jalen Guyton,North Texas,CUSA,13,54,805,14.9,6,0,0,,0,54,805,14.9,6
Isaiah Hodgins,Oregon State,Pac-12,22,59,876,14.8,5,0,0,,0,59,876,14.8,5
Miles Boykin,Notre Dame,Ind,13,59,872,14.8,8,0,0,,0,59,872,14.8,8
Darren Woods Jr,UNLV,MWC,8,24,355,14.8,5,0,0,,0,24,355,14.8,5
Jalen Reagor,Texas Christian,Big 12,13,72,1061,14.7,9,13,170,13.1,2,85,1231,14.5,11
Olabisi Johnson,Colorado State,MWC,11,54,796,14.7,4,0,0,,0,54,796,14.7,4
Harrison Bryant,Florida Atlantic,CUSA,12,45,662,14.7,4,1,2,2.0,0,46,664,14.4,4
Maurice Ffrench,Pitt,ACC,14,35,515,14.7,6,19,164,8.6,2,54,679,12.6,8
Jonah Morris,Akron,MAC,9,26,381,14.7,1,1,1,1.0,0,27,382,14.1,1
Kelvin Harmon,North Carolina State,ACC,12,81,1186,14.6,7,0,0,,0,81,1186,14.6,7
Antonio Gandy-Golden,Liberty,Ind,11,71,1037,14.6,10,0,0,,0,71,1037,14.6,10
Alex Bachman,Wake Forest,ACC,11,37,541,14.6,6,0,0,,0,37,541,14.6,6
RJ Turner,Louisiana-Monroe,Sun Belt,11,36,526,14.6,1,0,0,,0,36,526,14.6,1
Jauan Jennings,Tennessee,SEC,11,30,438,14.6,3,0,0,,0,30,438,14.6,3
Collin Johnson,Texas,Big 12,13,68,985,14.5,7,0,0,,0,68,985,14.5,7
Omar Bayless,Arkansas State,Sun Belt,12,39,566,14.5,2,0,0,,0,39,566,14.5,2
Sean Modster,Boise State,MWC,13,68,978,14.4,8,0,0,,0,68,978,14.4,8
Riley Miller,Ball State,MAC,12,61,878,14.4,7,0,0,,0,61,878,14.4,7
Denzel Mims,Baylor,Big 12,12,55,794,14.4,8,0,0,,0,55,794,14.4,8
Van Jefferson,Florida,SEC,11,35,503,14.4,6,0,0,,0,35,503,14.4,6
Brandon Aiyuk,Arizona State,Pac-12,13,33,474,14.4,3,0,0,,0,33,474,14.4,3
Stanley Morgan Jr.,Nebraska,Big Ten,12,70,1004,14.3,7,1,4,4.0,0,71,1008,14.2,7
Isaac Nauta,Georgia,SEC,14,30,430,14.3,3,0,31,,1,30,461,15.4,4
Deebo Samuel,South Carolina,SEC,12,62,882,14.2,11,8,26,3.3,0,70,908,13.0,11
Jayden Reed,Western Michigan,MAC,12,56,797,14.2,8,1,-9,-9.0,0,57,788,13.8,8
Sage Surratt,Wake Forest,ACC,10,41,581,14.2,4,0,0,,0,41,581,14.2,4
Chris Platt,Baylor,Big 12,12,36,511,14.2,1,2,31,15.5,0,38,542,14.3,1
Pat Freiermuth,Penn State,Big Ten,12,26,368,14.2,8,0,0,,0,26,368,14.2,8
KeeSean Johnson,Fresno State,MWC,14,95,1340,14.1,8,4,14,3.5,0,99,1354,13.7,8
