Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD
Tyler Huntley,Utah,Pac-12,10,168,537,3.2,6,0,0,,0,168,537,3.2,6
Daniel Jones,Duke,ACC,13,161,518,3.2,7,0,0,,0,161,518,3.2,7
D'Andre Ferby,Western Kentucky,CUSA,11,117,373,3.2,3,13,84,6.5,0,130,457,3.5,3
Tra Minter,South Alabama,Sun Belt,12,107,341,3.2,1,22,247,11.2,1,129,588,4.6,2
Baker Mayfield,Oklahoma,Big 12,14,97,311,3.2,5,1,2,2.0,1,98,313,3.2,6
Taylor Martin,Kansas,Big 12,10,90,286,3.2,3,9,21,2.3,0,99,307,3.1,3
Kwadra Griggs,Southern Mississippi,CUSA,10,83,268,3.2,3,1,18,18.0,0,84,286,3.4,3
Justice Hansen,Arkansas State,Sun Belt,12,132,415,3.1,7,2,48,24.0,0,134,463,3.5,7
J'mar Smith,Louisiana Tech,CUSA,13,119,371,3.1,6,0,0,,0,119,371,3.1,6
Kyle Porter,Texas,Big 12,10,83,261,3.1,4,6,43,7.2,1,89,304,3.4,5
Steven Williams,Old Dominion,CUSA,10,92,263,2.9,3,0,0,,0,92,263,2.9,3
A.J. Erdely,UAB,CUSA,13,122,326,2.7,13,1,3,3.0,0,123,329,2.7,13
Steven Montez,Colorado,Pac-12,12,132,338,2.6,3,1,11,11.0,1,133,349,2.6,4
Josh Jackson,Virginia Tech,ACC,13,124,324,2.6,6,0,0,,0,124,324,2.6,6
Peyton Ramsey,Indiana,Big Ten,8,92,226,2.5,2,0,0,,0,92,226,2.5,2
Chazz Surratt,North Carolina,ACC,9,85,210,2.5,5,0,0,,0,85,210,2.5,5
George Bollas,Kent State,MAC,11,103,238,2.3,1,0,0,,0,103,238,2.3,1
Josh Allen,Wyoming,MWC,11,92,204,2.2,5,1,2,2.0,0,93,206,2.2,5
Bryant Shirreffs,Connecticut,American,9,90,200,2.2,0,1,6,6.0,0,91,206,2.3,0
Kato Nelson,Akron,MAC,10,95,198,2.1,1,0,0,,0,95,198,2.1,1
Manny Wilkins,Arizona State,Pac-12,13,138,282,2.0,7,1,-3,-3.0,0,139,279,2.0,7
Jarrett Stidham,Auburn,SEC,14,103,153,1.5,4,0,0,,0,103,153,1.5,4
Shane Morris,Central Michigan,MAC,13,88,93,1.1,3,0,0,,0,88,93,1.1,3
Damian Williams,Texas State,Sun Belt,12,115,113,1.0,5,0,0,,0,115,113,1.0,5
Clayton Thorson,Northwestern,Big Ten,13,87,23,0.3,8,1,24,24.0,0,88,47,0.5,8
Mason Fine,North Texas,CUSA,14,107,16,0.1,1,0,0,,0,107,16,0.1,1
