Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Rush Att,Rush Yds,Rush Avg,Rush TD
Jake Bentley,South Carolina,SEC,13,240,388,61.9,3171,8.2,7.9,27,14,146.3,65,78,1.2,2
Ryan Finley,North Carolina State,ACC,13,326,484,67.4,3928,8.1,8.1,25,11,148.0,42,21,0.5,1
Mason Fine,North Texas,CUSA,13,303,469,64.6,3793,8.1,8.8,27,5,149.4,69,20,0.3,2
Evan Orth,South Alabama,Sun Belt,10,145,222,65.3,1795,8.1,7.9,11,6,144.2,56,173,3.1,1
Cole McDonald,Hawaii,MWC,13,285,484,58.9,3875,8.0,8.6,36,10,146.5,134,359,2.7,4
David Blough,Purdue,Big Ten,13,305,462,66.0,3705,8.0,8.1,25,10,146.9,75,52,0.7,3
Drew Lock,Missouri,SEC,13,275,437,62.9,3498,8.0,8.5,28,8,147.7,55,175,3.2,6
Shea Patterson,Michigan,Big Ten,13,210,325,64.6,2600,8.0,8.4,22,7,149.8,76,273,3.6,2
Zac Thomas,Appalachian State,Sun Belt,12,159,254,62.6,2039,8.0,8.6,21,6,152.6,92,504,5.5,10
Justice Hansen,Arkansas State,Sun Belt,13,286,434,65.9,3447,7.9,8.3,27,9,149.0,133,411,3.1,6
Desmond Ridder,Cincinnati,American,13,194,311,62.4,2445,7.9,8.4,20,5,146.4,149,583,3.9,5
Andre Nunez,Louisiana,Sun Belt,14,182,287,63.4,2272,7.9,7.4,20,12,144.5,56,-15,-0.3,3
Justin Herbert,Oregon,Pac-12,13,240,404,59.4,3151,7.8,8.3,29,8,144.6,71,166,2.3,2
Jarrett Guarantano,Tennessee,SEC,12,153,246,62.2,1907,7.8,8.2,12,3,141.0,40,-94,-2.4,0
Sam Ehlinger,Texas,Big 12,14,275,425,64.7,3292,7.7,8.4,25,5,146.8,164,482,2.9,16
Tyree Jackson,Buffalo,MAC,14,225,407,55.3,3131,7.7,7.7,28,12,136.7,55,161,2.9,7
Kyle Shurmur,Vanderbilt,SEC,13,254,406,62.6,3130,7.7,8.2,24,6,143.9,39,-80,-2.1,0
Manny Wilkins,Arizona State,Pac-12,13,247,393,62.8,3025,7.7,8.0,20,6,141.2,112,452,4.0,8
Charlie Brewer,Baylor,Big 12,13,240,390,61.5,3019,7.7,7.7,19,9,138.0,133,375,2.8,7
Blake LaRussa,Old Dominion,CUSA,11,249,393,63.4,3015,7.7,7.5,19,10,138.7,51,-68,-1.3,1
Caleb Evans,Louisiana-Monroe,Sun Belt,12,231,374,61.8,2869,7.7,7.1,16,12,133.9,140,632,4.5,10
Eric Dungey,Syracuse,ACC,13,226,371,60.9,2868,7.7,7.6,18,9,137.0,184,754,4.1,15
Blake Barnett,South Florida,American,11,214,350,61.1,2705,7.7,7.0,12,11,131.1,107,301,2.8,8
Bryce Perkins,Virginia,ACC,13,225,349,64.5,2680,7.7,8.0,25,9,147.5,212,923,4.4,9
Jack Abraham,Southern Mississippi,CUSA,9,223,305,73.1,2347,7.7,7.2,15,10,147.4,49,-78,-1.6,1
Brent Stockstill,Middle Tennessee State,CUSA,14,326,464,70.3,3544,7.6,7.9,29,10,150.7,127,140,1.1,2
Joe Burrow,LSU,SEC,13,219,379,57.8,2894,7.6,7.9,16,5,133.2,128,399,3.1,7
Jarrett Stidham,Auburn,SEC,13,224,369,60.7,2794,7.6,7.9,18,5,137.7,72,1,0.0,3
Feleipe Franks,Florida,SEC,13,188,322,58.4,2457,7.6,8.3,24,6,143.4,110,350,3.2,7
K.J. Carta-Samuels,Colorado State,MWC,9,183,298,61.4,2261,7.6,7.5,19,9,140.1,45,-14,-0.3,1
Sheriron Jones,New Mexico,MWC,11,102,187,54.5,1417,7.6,6.1,13,12,128.3,79,286,3.6,0
Ty Gangi,Nevada,MWC,12,268,443,60.5,3331,7.5,7.3,24,13,135.7,51,146,2.9,3
Kellen Mond,Texas A&M,SEC,13,238,415,57.3,3107,7.5,7.7,24,9,135.0,149,474,3.2,7
Ryan Willis,Virginia Tech,ACC,12,213,364,58.5,2716,7.5,7.7,24,9,138.0,113,354,3.1,4
Adrian Martinez,Nebraska,Big Ten,11,224,347,64.6,2617,7.5,7.5,17,8,139.5,140,629,4.5,8
Isaiah Green,Marshall,CUSA,10,187,330,56.7,2459,7.5,7.0,15,10,128.2,45,116,2.6,1
JT Daniels,USC,Pac-12,11,216,363,59.5,2672,7.4,6.9,14,10,128.6,45,-149,-3.3,0
Anthony Russo,Temple,American,11,198,345,57.4,2563,7.4,6.4,14,14,125.1,43,63,1.5,3
Anthony Brown,Boston College,ACC,12,158,285,55.4,2121,7.4,7.4,20,9,134.8,54,85,1.6,1
Ryan Agnew,San Diego State,MWC,12,115,223,51.6,1651,7.4,7.1,10,6,123.2,62,141,2.3,0
Dan Ellington,Georgia State,Sun Belt,11,174,292,59.6,2119,7.3,7.3,12,5,130.7,159,625,3.9,5
Sawyer Smith,Troy,Sun Belt,13,144,229,62.9,1669,7.3,7.3,14,6,139.0,74,191,2.6,1
Gardner Minshew,Washington State,Pac-12,13,468,662,70.7,4779,7.2,7.8,38,9,147.6,58,119,2.1,4
Nathan Stanley,Iowa,Big Ten,13,235,396,59.3,2852,7.2,7.4,26,10,136.5,36,4,0.1,1
Steven Montez,Colorado,Pac-12,12,258,399,64.7,2849,7.1,7.1,19,9,135.8,94,238,2.5,4
Tyler Wiegers,Eastern Michigan,MAC,12,171,265,64.5,1887,7.1,7.4,11,3,135.8,66,48,0.7,1
Stephen Calvert,Liberty,Ind,12,240,439,54.7,3068,7.0,6.1,21,18,121.0,30,-146,-4.9,2
Trace McSorley,Penn State,Big Ten,13,192,361,53.2,2530,7.0,7.1,18,7,124.6,170,798,4.7,12
Terry Wilson,Kentucky,SEC,13,180,268,67.2,1889,7.0,6.5,11,8,133.9,135,547,4.1,4
J'mar Smith,Louisiana Tech,CUSA,13,264,461,57.3,3160,6.9,6.5,15,10,121.2,90,159,1.8,3
Deondre Francois,Florida State,ACC,11,227,396,57.3,2731,6.9,6.3,15,12,121.7,78,16,0.2,3
Ben Hicks,SMU,American,12,208,372,55.9,2582,6.9,7.1,19,7,127.3,45,-68,-1.5,0
Gus Ragland,Miami (OH),MAC,12,226,371,60.9,2547,6.9,7.2,17,5,131.0,92,214,2.3,7
Eli Peters,Toledo,MAC,11,146,265,55.1,1837,6.9,7.1,18,7,130.5,23,44,1.9,0
Colin Hill,Colorado State,MWC,10,119,202,58.9,1387,6.9,6.0,7,7,121.1,28,-10,-0.4,1
Daniel Jones,Duke,ACC,11,237,392,60.5,2674,6.8,6.9,22,9,131.7,104,319,3.1,3
Jarret Doege,Bowling Green State,MAC,12,242,389,62.2,2660,6.8,6.8,27,12,136.4,51,-188,-3.7,2
Kato Nelson,Akron,MAC,11,178,342,52.0,2329,6.8,6.6,15,8,119.0,131,303,2.3,1
Holton Ahlers,East Carolina,American,10,127,263,48.3,1785,6.8,7.2,12,3,118.1,119,592,5.0,6
Dorian Thompson-Robinson,UCLA,Pac-12,9,112,194,57.7,1311,6.8,6.6,7,4,122.3,50,68,1.4,0
Nathan Elliott,North Carolina,ACC,10,201,325,61.8,2169,6.7,6.1,11,9,123.5,39,35,0.9,0
Skylar Thompson,Kansas State,Big 12,11,122,208,58.7,1391,6.7,6.7,9,4,125.3,105,373,3.6,5
Clayton Thorson,Northwestern,Big Ten,14,299,489,61.1,3183,6.5,5.8,17,15,121.2,78,-110,-1.4,9
Josh Adkins,New Mexico State,Ind,10,222,393,56.5,2563,6.5,6.2,13,9,117.6,86,117,1.4,0
Jawon Pass,Louisville,ACC,11,162,300,54.0,1960,6.5,5.3,8,12,109.7,76,93,1.2,2
AJ Bush,Illinois,Big Ten,10,117,217,53.9,1413,6.5,5.0,6,10,108.5,138,733,5.3,8
Peyton Ramsey,Indiana,Big Ten,12,295,447,66.0,2875,6.4,6.0,19,13,128.2,111,354,3.2,5
Kenny Pickett,Pitt,ACC,14,180,310,58.1,1969,6.4,6.3,12,6,120.3,117,220,1.9,3
Nick Fitzgerald,Mississippi State,SEC,12,145,281,51.6,1767,6.3,6.0,16,9,116.8,221,1121,5.1,13
Ty Storey,Arkansas,SEC,10,143,250,57.2,1584,6.3,5.4,11,10,116.9,67,146,2.2,1
David Pindell,Connecticut,American,12,186,314,59.2,1962,6.2,5.6,19,13,123.4,212,1139,5.4,10
Max Gilliam,UNLV,MWC,9,125,226,55.3,1394,6.2,5.8,14,8,120.5,51,-4,-0.1,1
Shawn Stankavage,Rice,CUSA,10,124,219,56.6,1328,6.1,4.9,10,10,113.5,44,47,1.1,0
Tyler Vitt,Texas State,Sun Belt,9,116,191,60.7,1159,6.1,4.4,7,10,113.3,81,237,2.9,2
Woody Barrett,Kent State,MAC,12,229,390,58.7,2339,6.0,5.5,11,9,113.8,163,503,3.1,7
Brian Lewerke,Michigan State,Big Ten,11,184,339,54.3,2040,6.0,5.0,8,11,106.1,90,184,2.0,2
Peyton Bender,Kansas,Big 12,11,183,321,57.0,1894,5.9,6.3,13,3,118.1,35,-156,-4.5,0
Chase Garbers,California,Pac-12,11,159,260,61.2,1506,5.8,5.1,14,10,119.9,98,420,4.3,2
Riley Neal,Ball State,MAC,9,194,335,57.9,1917,5.7,5.8,11,4,114.4,86,357,4.2,5
Steven Duncan,Western Kentucky,CUSA,9,108,187,57.8,1071,5.7,5.0,9,7,114.3,74,192,2.6,2
Marcus Childers,Northern Illinois,MAC,14,234,397,58.9,2175,5.5,5.1,15,10,112.4,194,531,2.7,6
Tyler Vander Waal,Wyoming,MWC,10,120,246,48.8,1310,5.3,5.0,5,4,97.0,61,-63,-1.0,2
Cordale Grundy,UTSA,CUSA,9,111,220,50.5,989,4.5,4.3,5,3,93.0,64,167,2.6,1
Artur Sitkowski,Rutgers,Big Ten,11,134,273,49.1,1158,4.2,1.6,4,18,76.4,22,-66,-3.0,0
