Player,School,Conf,G,Rush Att,Rush Yds,Rush Avg,Rush TD,Pass Rec,Pass Yds,Pass Avg,Pass TD,Plays,Yds,Avg,TD
Reggie Corbin,Illinois,Big Ten,12,86,523,6.1,2,10,112,11.2,0,96,635,6.6,2
Lamar Jackson,Louisville,ACC,13,260,1571,6.0,21,0,0,,0,260,1571,6.0,21
Mike Weber,Ohio State,Big Ten,13,182,1096,6.0,9,23,91,4.0,0,205,1187,5.8,9
Jacobi Owens,Air Force,MWC,13,142,859,6.0,5,3,60,20.0,1,145,919,6.3,6
Trevor Knight,Texas A&M,SEC,11,102,614,6.0,10,0,0,,0,102,614,6.0,10
Joseph Yearby,Miami (FL),ACC,13,102,608,6.0,7,10,65,6.5,0,112,673,6.0,7
Jalin Moore,Appalachian State,Sun Belt,13,237,1402,5.9,10,5,32,6.4,0,242,1434,5.9,10
Jamaal Williams,Brigham Young,Ind,10,234,1375,5.9,12,7,80,11.4,0,241,1455,6.0,12
Kamryn Pettway,Auburn,SEC,9,209,1224,5.9,7,2,14,7.0,0,211,1238,5.9,7
Benjamin Snell Jr.,Kentucky,SEC,13,186,1091,5.9,13,2,39,19.5,0,188,1130,6.0,13
Josh Adams,Notre Dame,Ind,12,158,933,5.9,5,21,193,9.2,1,179,1126,6.3,6
Ryquell Armstead,Temple,American,13,156,919,5.9,14,5,41,8.2,0,161,960,6.0,14
Elijah Hood,North Carolina,ACC,11,145,858,5.9,8,25,142,5.7,0,170,1000,5.9,8
Marvin Kinsey,Colorado State,MWC,11,93,546,5.9,7,2,47,23.5,0,95,593,6.2,7
Patrick Taylor Jr.,Memphis,American,12,93,546,5.9,2,11,37,3.4,0,104,583,5.6,2
Myles Gaskin,Washington,Pac-12,14,237,1373,5.8,10,19,137,7.2,1,256,1510,5.9,11
Alvin Kamara,Tennessee,SEC,11,103,596,5.8,9,40,392,9.8,4,143,988,6.9,13
Lazedrick Thompson,Tulane,American,12,87,506,5.8,7,2,0,0.0,0,89,506,5.7,7
Terence Williams,Baylor,Big 12,12,185,1048,5.7,11,2,22,11.0,0,187,1070,5.7,11
Dalyn Dawkins,Colorado State,MWC,12,161,919,5.7,4,20,162,8.1,1,181,1081,6.0,5
Rico Dowdle,South Carolina,SEC,9,133,764,5.7,6,15,55,3.7,1,148,819,5.5,7
Jeremy Cox,Old Dominion,CUSA,12,129,732,5.7,13,11,118,10.7,1,140,850,6.1,14
Kendrick Foster,Illinois,Big Ten,12,126,720,5.7,7,9,54,6.0,2,135,774,5.7,9
James Williams,Washington State,Pac-12,13,102,585,5.7,6,48,342,7.1,1,150,927,6.2,7
Taylor Lamb,Appalachian State,Sun Belt,13,89,505,5.7,9,0,0,,0,89,505,5.7,9
Kareem Hunt,Toledo,MAC,13,262,1475,5.6,10,41,403,9.8,1,303,1878,6.2,11
Rawleigh Williams III,Arkansas,SEC,13,245,1360,5.6,12,15,220,14.7,1,260,1580,6.1,13
Jarred Craft,Louisiana Tech,CUSA,14,191,1074,5.6,9,42,340,8.1,4,233,1414,6.1,13
Royce Freeman,Oregon,Pac-12,11,168,945,5.6,9,23,144,6.3,1,191,1089,5.7,10
Dontrell Hilliard,Tulane,American,11,135,759,5.6,9,9,114,12.7,0,144,873,6.1,9
Dare Ogunbowale,Wisconsin,Big Ten,14,91,506,5.6,5,24,208,8.7,1,115,714,6.2,6
Saquon Barkley,Penn State,Big Ten,14,272,1496,5.5,18,28,402,14.4,4,300,1898,6.3,22
Ito Smith,Southern Mississippi,CUSA,13,265,1459,5.5,17,43,459,10.7,2,308,1918,6.2,19
Jarvion Franklin,Western Michigan,MAC,14,248,1353,5.5,12,25,288,11.5,2,273,1641,6.0,14
Justice Hill,Oklahoma State,Big 12,13,206,1142,5.5,6,5,46,9.2,0,211,1188,5.6,6
Jesse Ertz,Kansas State,Big 12,13,183,1012,5.5,12,0,0,,0,183,1012,5.5,12
Jeffery Wilson,North Texas,CUSA,11,169,936,5.5,14,29,247,8.5,1,198,1183,6.0,15
Sony Michel,Georgia,SEC,12,152,840,5.5,4,22,149,6.8,1,174,989,5.7,5
Joshua Dobbs,Tennessee,SEC,13,150,831,5.5,12,1,4,4.0,1,151,835,5.5,13
Xavier Johnson,South Alabama,Sun Belt,12,151,831,5.5,10,13,86,6.6,0,164,917,5.6,10
Devon Spalding,Central Michigan,MAC,11,138,758,5.5,6,31,204,6.6,1,169,962,5.7,7
Justin Davis,USC,Pac-12,10,110,607,5.5,2,14,112,8.0,0,124,719,5.8,2
Devwah Whaley,Arkansas,SEC,13,110,602,5.5,3,6,139,23.2,0,116,741,6.4,3
Darnell Woolfolk,Army,Ind,11,109,600,5.5,9,0,0,,0,109,600,5.5,9
Quinton Baker,Western Kentucky,CUSA,13,99,542,5.5,4,8,43,5.4,0,107,585,5.5,4
Darrell Henderson,Memphis,American,13,87,482,5.5,5,20,237,11.9,3,107,719,6.7,8
Jeremy McNichols,Boise State,MWC,13,314,1709,5.4,23,37,474,12.8,4,351,2183,6.2,27
D'Angelo Brewer,Tulsa,American,12,264,1435,5.4,7,5,19,3.8,1,269,1454,5.4,8
Samaje Perine,Oklahoma,Big 12,10,196,1060,5.4,12,10,106,10.6,1,206,1166,5.7,13
LJ Scott,Michigan State,Big Ten,12,184,994,5.4,6,10,147,14.7,1,194,1141,5.9,7
James Summers,East Carolina,American,12,162,869,5.4,7,19,109,5.7,1,181,978,5.4,8
Larry Rose III,New Mexico State,Sun Belt,9,159,865,5.4,4,25,180,7.2,0,184,1045,5.7,4
Khalfani Muhammad,California,Pac-12,11,152,827,5.4,2,17,132,7.8,0,169,959,5.7,2
Charles Williams,UNLV,MWC,12,141,763,5.4,3,4,8,2.0,0,145,771,5.3,3
Shock Linwood,Baylor,Big 12,11,138,751,5.4,2,2,6,3.0,0,140,757,5.4,2
T.J. Logan,North Carolina,ACC,13,120,650,5.4,7,29,244,8.4,3,149,894,6.0,10
Seth Russell,Baylor,Big 12,9,94,506,5.4,8,0,0,,0,94,506,5.4,8
Willy Ivery,North Texas,CUSA,11,90,489,5.4,6,25,173,6.9,2,115,662,5.8,8
Gerard Wicks,Washington State,Pac-12,13,88,475,5.4,11,29,184,6.3,1,117,659,5.6,12
Justin Silmon,Kansas State,Big 12,12,86,464,5.4,3,1,2,2.0,0,87,466,5.4,3
Zamore Zigler,San Jose State,MWC,8,79,423,5.4,3,10,79,7.9,1,89,502,5.6,4
Brian Hill,Wyoming,MWC,14,349,1860,5.3,22,8,67,8.4,0,357,1927,5.4,22
James Gilbert,Ball State,MAC,12,251,1332,5.3,12,1,18,18.0,0,252,1350,5.4,12
Mark Walton,Miami (FL),ACC,13,209,1117,5.3,14,27,240,8.9,1,236,1357,5.8,15
Jalen Rhodes,UTSA,CUSA,12,155,827,5.3,9,17,160,9.4,1,172,987,5.7,10
Ke'aun Kinner,Kansas,Big 12,12,140,738,5.3,3,19,179,9.4,0,159,917,5.8,3
Aeris Williams,Mississippi State,SEC,13,137,720,5.3,4,7,45,6.4,0,144,765,5.3,4
Keith Ford,Texas A&M,SEC,13,126,669,5.3,6,5,81,16.2,0,131,750,5.7,6
Art Pierce,Oregon State,Pac-12,11,98,523,5.3,4,21,132,6.3,1,119,655,5.5,5
Jordan Johnson,Buffalo,MAC,12,200,1040,5.2,6,9,101,11.2,1,209,1141,5.5,7
Jamauri Bogan,Western Michigan,MAC,11,179,923,5.2,8,5,58,11.6,0,184,981,5.3,8
Dorian Brown,Ohio,MAC,11,158,825,5.2,4,6,21,3.5,0,164,846,5.2,4
Tonny Lindsey,Utah State,MWC,12,148,763,5.2,6,17,123,7.2,0,165,886,5.4,6
Arion Worthman,Air Force,MWC,7,130,674,5.2,6,0,0,,0,130,674,5.2,6
Lexington Thomas,UNLV,MWC,10,124,642,5.2,8,6,83,13.8,2,130,725,5.6,10
Robert Martin,Rutgers,Big Ten,9,121,625,5.2,2,5,37,7.4,0,126,662,5.3,2
JaMycal Hasty,Baylor,Big 12,12,119,623,5.2,3,3,26,8.7,0,122,649,5.3,3
Charles Jones,Kansas State,Big 12,13,115,596,5.2,2,13,130,10.0,0,128,726,5.7,2
David Montgomery,Iowa State,Big 12,12,109,563,5.2,2,13,129,9.9,0,122,692,5.7,2
Wesley Fields,Georgia Southern,Sun Belt,10,94,492,5.2,3,11,177,16.1,3,105,669,6.4,6
Bradrick Shaw,Wisconsin,Big Ten,10,88,457,5.2,5,1,6,6.0,0,89,463,5.2,5
Justin Jackson,Northwestern,Big Ten,13,298,1524,5.1,15,35,219,6.3,0,333,1743,5.2,15
James Butler,Nevada,MWC,12,260,1336,5.1,12,37,381,10.3,3,297,1717,5.8,15
Ralph Webb,Vanderbilt,SEC,13,250,1283,5.1,13,21,166,7.9,0,271,1449,5.3,13
Phillip Lindsay,Colorado,Pac-12,14,244,1252,5.1,16,53,493,9.3,1,297,1745,5.9,17
James Conner,Pitt,ACC,13,216,1092,5.1,16,21,302,14.4,4,237,1394,5.9,20
Kyle Hicks,Texas Christian,Big 12,13,203,1042,5.1,12,47,417,8.9,2,250,1459,5.8,14
Braeden West,SMU,American,12,202,1036,5.1,6,15,92,6.1,0,217,1128,5.2,6
Andy Davidson,Army,Ind,12,190,961,5.1,12,0,0,,0,190,961,5.1,12
Alex Gardner,Florida International,CUSA,12,181,930,5.1,6,30,191,6.4,0,211,1121,5.3,6
Dedrick Mills,Georgia Tech,ACC,9,152,771,5.1,12,2,13,6.5,1,154,784,5.1,13
Malik Roberson,San Jose State,MWC,11,99,508,5.1,2,18,102,5.7,1,117,610,5.2,3
Jela Duncan,Duke,ACC,7,88,450,5.1,6,5,33,6.6,0,93,483,5.2,6
Thomas Koufie,Louisiana-Monroe,Sun Belt,10,84,430,5.1,9,5,24,4.8,0,89,454,5.1,9
Manny Morgan,Akron,MAC,9,81,417,5.1,0,2,8,4.0,0,83,425,5.1,0
Nick Chubb,Georgia,SEC,13,224,1130,5.0,8,5,86,17.2,1,229,1216,5.3,9
Leshun Daniels Jr,Iowa,Big Ten,13,213,1058,5.0,10,8,67,8.4,0,221,1125,5.1,10
Fred Coppet,Bowling Green State,MAC,12,204,1030,5.0,8,15,79,5.3,0,219,1109,5.1,8
Jalen Hurts,Alabama,SEC,15,191,954,5.0,13,0,0,,0,191,954,5.0,13
Taquan Mizzell,Virginia,ACC,12,187,940,5.0,5,52,404,7.8,2,239,1344,5.6,7
Jordan Scarlett,Florida,SEC,13,179,889,5.0,6,4,23,5.8,0,183,912,5.0,6
Greg Howell,Florida Atlantic,CUSA,12,167,828,5.0,13,5,42,8.4,0,172,870,5.1,13
Akeem Judd,Ole Miss,SEC,12,164,826,5.0,6,15,106,7.1,1,179,932,5.2,7
Tre Watson,California,Pac-12,12,143,709,5.0,4,21,241,11.5,4,164,950,5.8,8
Terry Swanson,Toledo,MAC,13,116,583,5.0,4,10,74,7.4,1,126,657,5.2,5
Robert Washington,Charlotte,CUSA,12,97,489,5.0,5,13,28,2.2,0,110,517,4.7,5
Xavier Hall,New Mexico State,Sun Belt,12,80,396,5.0,1,11,136,12.4,0,91,532,5.8,1
Wayne Gallman,Clemson,ACC,15,232,1133,4.9,17,20,152,7.6,0,252,1285,5.1,17
Elijah McGuire,Louisiana,Sun Belt,13,232,1127,4.9,7,29,238,8.2,2,261,1365,5.2,9
Kerryon Johnson,Auburn,SEC,12,182,895,4.9,11,17,125,7.4,0,199,1020,5.1,11
Joel Bouagnon,Northern Illinois,MAC,12,182,885,4.9,8,17,157,9.2,1,199,1042,5.2,9
Arkeel Newsome,Connecticut,American,12,147,715,4.9,5,25,273,10.9,2,172,988,5.7,7
Kevin Ellison,Georgia Southern,Sun Belt,11,139,678,4.9,7,1,9,9.0,0,140,687,4.9,7
Kenny Hill,Texas Christian,Big 12,13,125,609,4.9,10,0,0,,0,125,609,4.9,10
D'Ernest Johnson,South Florida,American,13,111,543,4.9,8,28,293,10.5,5,139,836,6.0,13
Van Edwards Jr.,Akron,MAC,11,100,492,4.9,3,8,81,10.1,1,108,573,5.3,4
Albert Reid,Virginia,ACC,11,98,480,4.9,6,6,48,8.0,1,104,528,5.1,7
Anthony Scott,East Carolina,American,8,79,384,4.9,2,23,164,7.1,3,102,548,5.4,5
Rodney Smith,Minnesota,Big Ten,13,240,1158,4.8,16,23,188,8.2,0,263,1346,5.1,16
Kalif Phillips,Charlotte,CUSA,11,189,907,4.8,4,20,242,12.1,1,209,1149,5.5,5
Izzy Matthews,Colorado State,MWC,13,153,734,4.8,13,8,56,7.0,0,161,790,4.9,13
Anthony Jones,Florida International,CUSA,12,116,562,4.8,4,13,89,6.8,0,129,651,5.0,4
George Payne,Southern Mississippi,CUSA,13,103,496,4.8,2,10,67,6.7,0,113,563,5.0,2
Darik Dillard,Rice,CUSA,10,95,452,4.8,3,8,51,6.4,1,103,503,4.9,4
Hasaan Klugh,Charlotte,CUSA,11,89,426,4.8,8,0,0,,0,89,426,4.8,8
Zach Green,Arizona,Pac-12,10,77,372,4.8,3,2,5,2.5,0,79,377,4.8,3
Matt Dayes,North Carolina State,ACC,13,249,1166,4.7,10,32,271,8.5,0,281,1437,5.1,10
Nick Holley,Kent State,MAC,11,195,920,4.7,10,13,135,10.4,2,208,1055,5.1,12
De'Veon Smith,Michigan,Big Ten,13,181,846,4.7,10,16,66,4.1,0,197,912,4.6,10
Tion Green,Cincinnati,American,12,159,743,4.7,2,29,167,5.8,0,188,910,4.8,2
Travon McMillian,Virginia Tech,ACC,14,145,676,4.7,7,11,120,10.9,3,156,796,5.1,10
Aaron Duckworth,Idaho,Sun Belt,13,144,672,4.7,5,7,60,8.6,1,151,732,4.8,6
Shannon Brooks,Minnesota,Big Ten,10,138,650,4.7,5,8,76,9.5,2,146,726,5.0,7
Justin Rankin,Kent State,MAC,11,108,511,4.7,3,28,335,12.0,1,136,846,6.2,4
Gerald Holmes,Michigan State,Big Ten,11,91,431,4.7,5,11,48,4.4,0,102,479,4.7,5
Jordan Chunn,Troy,Sun Belt,13,279,1288,4.6,16,30,228,7.6,0,309,1516,4.9,16
Jahad Thomas,Temple,American,12,207,953,4.6,13,33,418,12.7,6,240,1371,5.7,19
Marquis Young,Massachusetts,Ind,12,197,898,4.6,4,26,147,5.7,0,223,1045,4.7,4
Terrell Newby,Nebraska,Big Ten,13,190,879,4.6,7,18,149,8.3,1,208,1028,4.9,8
Ish Witter,Missouri,SEC,12,162,750,4.6,6,7,50,7.1,0,169,800,4.7,6
Isaiah Saunders,Idaho,Sun Belt,13,159,731,4.6,9,15,148,9.9,0,174,879,5.1,9
Richard McQuarley,New Mexico,MWC,13,143,656,4.6,18,5,94,18.8,0,148,750,5.1,18
Donovan Wilson,Bowling Green State,MAC,10,110,503,4.6,5,4,34,8.5,1,114,537,4.7,6
Khari Blasingame,Vanderbilt,SEC,13,97,449,4.6,10,4,8,2.0,0,101,457,4.5,10
Maleek Irons,Ohio,MAC,9,95,439,4.6,5,14,96,6.9,0,109,535,4.9,5
Lamical Perine,Florida,SEC,13,91,421,4.6,1,9,161,17.9,1,100,582,5.8,2
Will Worth,Navy,American,12,264,1198,4.5,25,0,0,,0,264,1198,4.5,25
Ahmad Bradshaw,Army,Ind,12,184,824,4.5,8,1,12,12.0,0,185,836,4.5,8
Rushel Shell,West Virginia,Big 12,10,113,514,4.5,5,12,100,8.3,0,125,614,4.9,5
Tommy Armstrong Jr,Nebraska,Big Ten,11,113,512,4.5,8,0,0,,0,113,512,4.5,8
Johnston White,Arkansas State,Sun Belt,11,105,472,4.5,5,7,64,9.1,0,112,536,4.8,5
Zack Moss,Utah,Pac-12,10,84,382,4.5,2,1,4,4.0,0,85,386,4.5,2
Corey Clement,Wisconsin,Big Ten,13,314,1375,4.4,15,12,132,11.0,0,326,1507,4.6,15
Devine Redding,Indiana,Big Ten,13,253,1122,4.4,7,27,146,5.4,2,280,1268,4.5,9
Warren Wand,Arkansas State,Sun Belt,13,200,879,4.4,7,24,279,11.6,3,224,1158,5.2,10
Justin Thomas,Georgia Tech,ACC,12,137,604,4.4,6,0,0,,0,137,604,4.4,6
Taysom Hill,Brigham Young,Ind,12,137,603,4.4,8,0,0,,0,137,603,4.4,8
Justin Goodwin,Rutgers,Big Ten,11,118,517,4.4,1,22,204,9.3,1,140,721,5.2,2
Jarveon Williams,UTSA,CUSA,13,207,900,4.3,8,19,221,11.6,0,226,1121,5.0,8
Alonzo Smith,Miami (OH),MAC,13,163,709,4.3,3,8,89,11.1,2,171,798,4.7,5
Riley Neal,Ball State,MAC,11,127,540,4.3,8,1,10,10.0,0,128,550,4.3,8
Kalen Ballage,Arizona State,Pac-12,12,126,536,4.3,14,44,469,10.7,1,170,1005,5.9,15
Joel Lanning,Iowa State,Big 12,11,121,518,4.3,11,0,-4,,0,121,514,4.2,11
A.J. Turner,South Carolina,SEC,12,116,497,4.3,3,21,143,6.8,1,137,640,4.7,4
Deontae Cooper,San Jose State,MWC,11,112,484,4.3,2,10,108,10.8,1,122,592,4.9,3
Greg Windham,Ohio,MAC,10,95,406,4.3,3,0,0,,0,95,406,4.3,3
Dami Ayoola,South Alabama,Sun Belt,13,88,377,4.3,6,10,32,3.2,0,98,409,4.2,6
Jaxson Kincaide,Nevada,MWC,12,78,334,4.3,3,7,88,12.6,0,85,422,5.0,3
Tarean Folston,Notre Dame,Ind,10,77,334,4.3,2,8,66,8.3,0,85,400,4.7,2
Ian Eriksen,Eastern Michigan,MAC,11,184,771,4.2,9,21,243,11.6,0,205,1014,4.9,9
Ke'Mon Freemon,SMU,American,12,154,651,4.2,4,13,159,12.2,1,167,810,4.9,5
Mike Warren,Iowa State,Big 12,11,134,559,4.2,3,12,98,8.2,0,146,657,4.5,3
Keion Davis,Marshall,CUSA,9,113,469,4.2,6,11,56,5.1,1,124,525,4.2,7
Da'Leon Ward,Texas Tech,Big 12,8,103,428,4.2,3,18,131,7.3,0,121,559,4.6,3
Devine Ozigbo,Nebraska,Big Ten,9,97,412,4.2,5,5,100,20.0,0,102,512,5.0,5
Kyler Neal,Georgia State,Sun Belt,9,75,314,4.2,2,3,28,9.3,0,78,342,4.4,2
Jerod Evans,Virginia Tech,ACC,14,204,846,4.1,12,0,0,,0,204,846,4.1,12
J.T. Barrett,Ohio State,Big Ten,13,205,845,4.1,9,0,0,,0,205,845,4.1,9
Matt Colburn,Wake Forest,ACC,13,151,626,4.1,2,13,143,11.0,0,164,769,4.7,2
Shaun Wilson,Duke,ACC,12,151,623,4.1,4,8,76,9.5,0,159,699,4.4,4
D.J. Johnson,Air Force,MWC,12,150,622,4.1,2,0,0,,0,150,622,4.1,2
Shayne Davern,Air Force,MWC,12,116,475,4.1,4,4,69,17.3,0,120,544,4.5,4
Steven Lakalaka,Hawaii,MWC,14,102,416,4.1,13,3,14,4.7,0,105,430,4.1,13
La Ramsby,Georgia Southern,Sun Belt,11,84,343,4.1,8,7,22,3.1,0,91,365,4.0,8
Chad Kelly,Ole Miss,SEC,9,81,332,4.1,5,0,0,,0,81,332,4.1,5
Markell Jones,Purdue,Big Ten,11,153,616,4.0,4,32,215,6.7,0,185,831,4.5,4
John Wolford,Wake Forest,ACC,12,130,521,4.0,6,1,-6,-6.0,0,131,515,3.9,6
Tyree Jackson,Buffalo,MAC,10,99,399,4.0,5,0,0,,0,99,399,4.0,5
Davon Jones,Boston College,ACC,12,91,361,4.0,2,10,99,9.9,0,101,460,4.6,2
Shaun Wick,Wyoming,MWC,13,89,354,4.0,1,4,32,8.0,0,93,386,4.2,1
Dontravious Wilson,UCF,American,14,127,496,3.9,8,14,111,7.9,1,141,607,4.3,9
Kent Myers,Utah State,MWC,12,116,449,3.9,6,0,0,,0,116,449,3.9,6
Anthony Anderson,Marshall,CUSA,10,86,339,3.9,2,2,16,8.0,0,88,355,4.0,2
Soso Jamabo,UCLA,Pac-12,11,82,321,3.9,3,16,197,12.3,0,98,518,5.3,3
Matt Breida,Georgia Southern,Sun Belt,12,168,646,3.8,3,11,53,4.8,2,179,699,3.9,5
Deshaun Watson,Clemson,ACC,15,165,629,3.8,9,0,0,,0,165,629,3.8,9
Demario Richard,Arizona State,Pac-12,11,155,593,3.8,3,17,136,8.0,0,172,729,4.2,3
Stedman Mayberry,Texas State,Sun Belt,12,157,593,3.8,5,41,321,7.8,0,198,914,4.6,5
Cade Carney,Wake Forest,ACC,10,156,589,3.8,6,12,74,6.2,0,168,663,3.9,6
Ben Luckett,Louisiana-Monroe,Sun Belt,11,120,450,3.8,5,10,62,6.2,0,130,512,3.9,5
Josh Allen,Wyoming,MWC,14,142,523,3.7,7,1,4,4.0,1,143,527,3.7,8
DeShone Kizer,Notre Dame,Ind,12,129,472,3.7,8,1,4,4.0,0,130,476,3.7,8
Jalen Hurd,Tennessee,SEC,7,122,451,3.7,3,10,81,8.1,2,132,532,4.0,5
Mike Boone,Cincinnati,American,9,105,388,3.7,2,20,249,12.5,0,125,637,5.1,2
Duke Catalon,Houston,American,9,145,528,3.6,4,44,281,6.4,3,189,809,4.3,7
Jawon Hamilton,UCF,American,13,139,495,3.6,4,17,73,4.3,0,156,568,3.6,4
Taylor Martin,Kansas,Big 12,10,91,324,3.6,4,6,45,7.5,1,97,369,3.8,5
Dontae Strickland,Syracuse,ACC,12,162,566,3.5,4,21,132,6.3,0,183,698,3.8,4
Dru Brown,Hawaii,MWC,13,88,306,3.5,4,0,0,,0,88,306,3.5,4
Dontel James,Fresno State,MWC,11,208,697,3.4,5,3,9,3.0,0,211,706,3.3,5
Daniel Jones,Duke,ACC,12,141,486,3.4,7,1,0,0.0,0,142,486,3.4,7
Jahray Hayes,Central Michigan,MAC,13,144,486,3.4,9,12,120,10.0,0,156,606,3.9,9
Stephen Johnson,Kentucky,SEC,12,97,327,3.4,3,1,-3,-3.0,0,98,324,3.3,3
Nate Starks,UCLA,Pac-12,10,87,292,3.4,1,7,26,3.7,0,94,318,3.4,1
Skyler Howard,West Virginia,Big 12,13,142,463,3.3,10,0,0,,0,142,463,3.3,10
Mitch Leidner,Minnesota,Big Ten,12,111,366,3.3,10,0,0,,0,111,366,3.3,10
