Player,School,Conf,G,XPM,XPA,XP%,FGM,FGA,FG%,Pts
Brian Johnson,Virginia Tech,ACC,13,44,44,100.0,12,18,66.7,80
Blake Mazza,Washington State,Pac-12,13,60,62,96.8,10,15,66.7,90
Dylan Brown,New Mexico State,Ind,11,35,35,100.0,10,15,66.7,65
Ricky Aguayo,Florida State,ACC,12,30,31,96.8,11,17,64.7,63
Freeman Jones,North Carolina,ACC,11,31,31,100.0,18,28,64.3,85
Adam Mitcheson,Buffalo,MAC,14,51,58,87.9,9,14,64.3,78
Craig Ford,Louisiana-Monroe,Sun Belt,12,38,41,92.7,9,14,64.3,65
Asa Fuller,Fresno State,MWC,14,57,62,91.9,14,22,63.6,99
Connor Martin,Baylor,Big 12,13,40,44,90.9,15,24,62.5,85
Nick Vogel,UAB,CUSA,14,51,52,98.1,15,24,62.5,96
Nathan Walker,Tulsa,American,8,17,17,100.0,10,16,62.5,47
Wyatt Bryan,Colorado State,MWC,12,29,32,90.6,11,18,61.1,62
Anders Carlson,Auburn,SEC,13,44,44,100.0,15,25,60.0,89
Chad Ryland,Eastern Michigan,MAC,12,41,41,100.0,12,20,60.0,77
Haden Hoggarth,Boise State,MWC,12,57,58,98.3,12,20,60.0,93
Jordan Choukair,Oregon State,Pac-12,12,35,38,92.1,12,20,60.0,71
Riley Guay,Vanderbilt,SEC,13,47,47,100.0,13,22,59.1,86
Rafael Gaglianone,Wisconsin,Big Ten,13,48,48,100.0,10,17,58.8,78
Vladmir Rivas,Florida Atlantic,CUSA,12,39,41,95.1,10,17,58.8,69
Jason Filley,UTEP,CUSA,10,21,22,95.5,7,13,53.8,42
