Player,School,Conf,G,Pass Rec,Pass Yds,Pass Avg,Pass TD,Rush Att,Rush Yds,Rush Avg,Rush TD,Plays,Yds,Avg,TD
Steven Mitchell,USC,Pac-12,10,41,644,15.7,4,1,10,10.0,0,42,654,15.6,4
Equanimeous St. Brown,Notre Dame,Ind,12,33,515,15.6,4,0,0,,0,33,515,15.6,4
Mark Andrews,Oklahoma,Big 12,14,62,958,15.5,8,0,0,,0,62,958,15.5,8
Dez Fitzpatrick,Louisville,ACC,12,45,699,15.5,9,0,0,,0,45,699,15.5,9
Keke Coutee,Texas Tech,Big 12,13,93,1429,15.4,10,5,15,3.0,0,98,1444,14.7,10
Ryheem Malone,Louisiana,Sun Belt,11,44,676,15.4,4,4,57,14.3,0,48,733,15.3,4
Lucky Jackson,Western Kentucky,CUSA,10,39,600,15.4,3,1,6,6.0,0,40,606,15.2,3
Calvin Ridley,Alabama,SEC,14,63,967,15.3,5,2,17,8.5,0,65,984,15.1,5
Seth Dawkins,Louisville,ACC,12,42,642,15.3,4,0,0,,0,42,642,15.3,4
A.J. Taylor,Wisconsin,Big Ten,14,31,475,15.3,5,6,26,4.3,0,37,501,13.5,5
Anthony Miller,Memphis,American,13,96,1462,15.2,18,10,25,2.5,0,106,1487,14.0,18
Tyre Brady,Marshall,CUSA,11,62,942,15.2,8,0,0,,0,62,942,15.2,8
Aaron McLean,Connecticut,American,10,31,472,15.2,2,0,0,,0,31,472,15.2,2
Shane Tucker,Middle Tennessee State,CUSA,10,25,381,15.2,2,3,22,7.3,0,28,403,14.4,2
Penny Hart,Georgia State,Sun Belt,12,74,1121,15.1,8,6,27,4.5,0,80,1148,14.4,8
JD Spielman,Nebraska,Big Ten,11,55,830,15.1,2,10,73,7.3,0,65,903,13.9,2
Justin Hobbs,Tulsa,American,11,55,830,15.1,3,0,0,,0,55,830,15.1,3
Dredrick Snelson,UCF,American,12,46,695,15.1,8,2,11,5.5,1,48,706,14.7,9
Nyqwan Murray,Florida State,ACC,12,40,604,15.1,4,3,15,5.0,0,43,619,14.4,4
Thomas Owens,Florida International,CUSA,9,59,887,15.0,6,1,-1,-1.0,0,60,886,14.8,6
Davon Grayson,East Carolina,American,11,59,886,15.0,6,6,40,6.7,0,65,926,14.2,6
Marcus Green,Louisiana-Monroe,Sun Belt,12,54,812,15.0,5,14,175,12.5,0,68,987,14.5,5
A.J. Richardson,Boise State,MWC,11,33,494,15.0,2,0,0,,0,33,494,15.0,2
Terry McLaurin,Ohio State,Big Ten,13,29,436,15.0,6,0,0,,0,29,436,15.0,6
Ian Thomas,Indiana,Big Ten,9,25,376,15.0,5,0,0,,0,25,376,15.0,5
Keith Kirkwood,Temple,American,12,45,671,14.9,7,0,0,,0,45,671,14.9,7
Corey Willis,Central Michigan,MAC,9,45,669,14.9,9,0,0,,0,45,669,14.9,9
Tony Pollard,Memphis,American,13,36,536,14.9,4,30,230,7.7,2,66,766,11.6,6
Phil Mayhue,Memphis,American,11,35,521,14.9,3,0,0,,0,35,521,14.9,3
Chad Beebe,Northern Illinois,MAC,9,28,417,14.9,1,1,-1,-1.0,0,29,416,14.3,1
Trent Bostick,Charlotte,CUSA,11,24,357,14.9,3,1,3,3.0,0,25,360,14.4,3
Mark Chapman,Central Michigan,MAC,13,59,875,14.8,5,2,17,8.5,0,61,892,14.6,5
Damion Willis,Troy,Sun Belt,12,42,620,14.8,3,0,0,,0,42,620,14.8,3
Raelon Singleton,Utah,Pac-12,12,36,531,14.8,4,0,0,,0,36,531,14.8,4
Sadiq Palmer,Massachusetts,Ind,10,35,518,14.8,1,0,0,,0,35,518,14.8,1
Kelvin Harmon,North Carolina State,ACC,13,69,1017,14.7,4,0,0,,0,69,1017,14.7,4
Korey Robertson,Southern Mississippi,CUSA,13,76,1106,14.6,12,0,0,,0,76,1106,14.6,12
Trent Sherfield,Vanderbilt,SEC,12,50,729,14.6,5,8,92,11.5,1,58,821,14.2,6
Parris Campbell,Ohio State,Big Ten,13,40,584,14.6,3,10,132,13.2,1,50,716,14.3,4
Jonathan Nance,Arkansas,SEC,11,37,539,14.6,5,5,62,12.4,0,42,601,14.3,5
Keenan Barnes,Louisiana,Sun Belt,10,37,539,14.6,2,0,0,,0,37,539,14.6,2
Jessie Britt,Massachusetts,Ind,12,29,422,14.6,3,0,0,,0,29,422,14.6,3
Isaiah Wright,Temple,American,13,46,668,14.5,4,25,188,7.5,1,71,856,12.1,5
Olabisi Johnson,Colorado State,MWC,12,41,595,14.5,2,0,0,,0,41,595,14.5,2
Gabriel Davis,UCF,American,10,27,391,14.5,4,0,0,,0,27,391,14.5,4
Christian Booker,Arkansas State,Sun Belt,9,25,363,14.5,6,1,-3,-3.0,0,26,360,13.8,6
Elijah King,Texas State,Sun Belt,11,52,750,14.4,3,1,6,6.0,0,53,756,14.3,3
Ike Lewis,Appalachian State,Sun Belt,13,51,733,14.4,8,3,31,10.3,0,54,764,14.1,8
Rico Bussey Jr.,North Texas,CUSA,13,47,677,14.4,7,0,0,,0,47,677,14.4,7
