Player,Tm,Age,Pos,G,GS,0-19 FGA,0-19 FGM,20-29 FGA,20-29 FGM,30-39 FGA,30-39 FGM,40-49 FGA,40-49 FGM,50+ FGA,50+ FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck ,Y/P
Michael Badgley,LAC,23,K,10,0,,,4,4,5,5,5,5,2,1,16,15,93.8%,28,27,96.4%,,,,,
Graham Gano,CAR,31,K,12,0,,,3,3,5,4,4,4,4,3,16,14,87.5%,33,30,90.9%,,,,,
Zane Gonzalez,2TM,23,,7,0,,,1,1,4,4,4,2,5,2,14,9,64.3%,11,8,72.7%,,,,,
Caleb Sturgis,LAC,29,k,6,0,,,4,4,2,2,6,3,1,,13,9,69.2%,15,9,60.0%,1,24,24,0,24.0
Matthew McCrane,3TM,24,,5,0,,,3,3,2,2,5,3,2,,12,8,66.7%,9,9,100.0%,,,,,
Phil Dawson,ARI,43,K,10,0,,,2,2,2,2,3,1,1,,8,5,62.5%,15,15,100.0%,,,,,
Mike Nugent,OAK,36,k,3,0,,,3,3,,,2,2,1,1,6,6,100.0%,5,4,80.0%,,,,,
Kai Forbath,JAX,31,k,3,0,,,2,2,1,1,1,1,1,,5,4,80.0%,3,3,100.0%,,,,,
Giorgio Tavecchio,ATL,28,k,3,0,,,1,1,,,2,2,2,2,5,5,100.0%,8,8,100.0%,,,,,
Sam Ficken,LAR,26,k,2,0,,,1,,1,1,1,,,,3,1,33.3%,10,10,100.0%,,,,,
Johnny Hekker,LAR,28,P,16,0,,,1,1,,,,,,,1,1,100.0%,1,1,100.0%,43,1992,68,0,46.3
Andy Lee,ARI,36,P,16,0,,,,,,,,,,,,,,,,,94,4568,64,0,48.6
Matt Haack,MIA,24,P,16,0,,,,,,,,,,,,,,,,,87,3884,65,1,44.6
Logan Cooke,JAX,23,P,16,0,,,,,,,,,,,,,,,,,86,3872,72,0,45.0
Britton Colquitt,CLE,33,P,16,0,,,,,,,,,,,,,,,,,83,3767,79,2,45.4
Lac Edwards,NYJ,26,P,16,0,,,,,,,,,,,,,,,,,82,3763,67,0,45.9
Tress Way,WAS,28,P,16,0,,,,,,,,,,,,,,,,,79,3581,63,0,45.3
Michael Dickson,SEA,22,P,16,0,,,,,,,,,,,,,,,,,78,3759,69,1,48.2
Trevor Daniel,HOU,24,P,16,0,,,,,,,,,,,,,,,,,74,3237,61,0,43.7
Brett Kern,TEN,32,P,16,0,,,,,,,,,,,,,,,,,74,3483,62,1,47.1
Sam Martin,DET,28,P,16,0,,,,,,,,,,,,,,,,,74,3310,61,0,44.7
Matt Wile,MIN,26,K/P,16,0,,,,,,,,,,,,,,,,,72,3255,70,1,45.2
Riley Dixon,NYG,25,P,16,0,,,,,,,,,,,,,,,,,71,3226,60,0,45.4
Kevin Huber,CIN,33,P,16,0,,,,,,,,,,,,,,,,,71,3119,69,1,43.9
JK Scott,GNB,22,P,16,0,,,,,,,,,,,,,,,,,71,3176,67,1,44.7
Johnny Townsend,OAK,23,P,16,0,,,,,,,,,,,,,,,,,70,3022,64,0,43.2
Bradley Pinion,SFO,24,P,16,0,,,,,,,,,,,,,,,,,68,2973,64,1,43.7
Colby Wadman,DEN,23,P,12,0,,,,,,,,,,,,,,,,,65,2905,65,0,44.7
Ryan Allen,NWE,28,P,16,0,,,,,,,,,,,,,,,,,64,2885,66,0,45.1
Jordan Berry,PIT,27,P,16,0,,,,,,,,,,,,,,,,,63,2753,69,0,43.7
Pat O'Donnell,CHI,27,P,16,0,,,,,,,,,,,,,,,,,62,2791,65,1,45.0
Cameron Johnston,PHI,26,P,16,0,,,,,,,,,,,,,,,,,61,2937,68,0,48.1
Michael Palardy,CAR,26,P,16,0,,,,,,,,,,,,,,,,,61,2759,59,0,45.2
Matthew Bosher,ATL,31,P,16,0,,,,,,,,,,,,,,,,,60,2729,57,2,45.5
Chris Jones,DAL,29,P,16,0,,,,,,,,,,,,,,,,,60,2670,63,0,44.5
Sam Koch,BAL,36,P,16,0,,,,,,,,,,,,,,,,,60,2842,65,1,47.4
Bryan Anger,TAM,30,P,16,0,,,,,,,,,,,,,,,,,57,2567,64,1,45.0
Rigoberto Sanchez,IND,24,P,16,0,,,,,,,,,,,,,,,,,57,2629,63,0,46.1
Donnie Jones,LAC,38,P,12,0,,,,,,,,,,,,,,,,,47,1990,59,0,42.3
Corey Bojorquez,BUF,22,P,8,0,,,,,,,,,,,,,,,,,45,2028,60,1,45.1
Dustin Colquitt,KAN,36,P,16,0,,,,,,,,,,,,,,,,,45,2021,67,0,44.9
Thomas Morstead,NOR,32,P,16,0,,,,,,,,,,,,,,,,,43,1996,60,0,46.4
Matt Darr,BUF,26,p,5,0,,,,,,,,,,,,,,,,,20,809,55,0,40.5
Marquette King,DEN,30,p,4,0,,,,,,,,,,,,,,,,,20,881,66,0,44.1
Colton Schmidt,BUF,28,p,3,0,,,,,,,,,,,,,,,,,16,676,55,0,42.3
Drew Kaser,LAC,25,p,4,0,,,,,,,,,,,,,,,,,13,629,66,1,48.4
Ben Roethlisberger,PIT,36,QB,16,16,,,,,,,,,,,,,,,,,1,27,27,0,27.0
