Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
Melvin Gordon,SDG,23,RB,13,11,57,41,71.9%,419,10.2,2,35,7.4,3.2,32.2,2
Jermaine Kearse,SEA,26,WR,16,15,89,41,46.1%,510,12.4,1,36,5.7,2.6,31.9,0
Tyler Lockett,SEA,24,WR,15,9,66,41,62.1%,597,14.6,1,57,9.0,2.7,39.8,0
Brian Quick,LAR,27,wr,16,8,77,41,53.2%,564,13.8,3,65,7.3,2.6,35.3,0
Tajae Sharpe,TEN,22,WR,16,10,83,41,49.4%,522,12.7,2,34,6.3,2.6,32.6,0
Travaris Cadet,NOR,27,rb,15,1,54,40,74.1%,281,7.0,4,25,5.2,2.7,18.7,0
Isaiah Crowell,CLE,23,RB,16,16,53,40,75.5%,319,8.0,0,44,6.0,2.5,19.9,2
Giovani Bernard,CIN,25,rb,10,2,51,39,76.5%,336,8.6,1,32,6.6,3.9,33.6,1
John Brown,ARI,26,wr,15,6,73,39,53.4%,517,13.3,2,30,7.1,2.6,34.5,1
Victor Cruz,NYG,30,WR,15,12,72,39,54.2%,586,15.0,1,48,8.1,2.6,39.1,1
Jesse James,PIT,22,TE,16,13,60,39,65.0%,338,8.7,3,24,5.6,2.4,21.1,0
Frank Gore,IND,33,RB,16,16,47,38,80.9%,277,7.3,4,49,5.9,2.4,17.3,2
Chris Hogan,NWE,28,WR,15,14,58,38,65.5%,680,17.9,4,79,11.7,2.5,45.3,1
Seth Roberts,OAK,25,wr,16,6,77,38,49.4%,397,10.4,5,41,5.2,2.4,24.8,0
Trey Burton,PHI,25,te,15,4,60,37,61.7%,327,8.8,1,32,5.5,2.5,21.8,0
Michael Floyd,2TM,27,,15,8,76,37,48.7%,488,13.2,5,39,6.4,2.5,32.5,0
Jermaine Gresham,ARI,28,TE,16,14,61,37,60.7%,391,10.6,2,34,6.4,2.3,24.4,1
Kyle Juszczyk,BAL,25,fb,16,7,49,37,75.5%,266,7.2,0,40,5.4,2.3,16.6,0
Quinton Patton,SFO,26,WR,14,14,63,37,58.7%,408,11.0,0,45,6.5,2.6,29.1,1
Nelson Agholor,PHI,23,WR,15,14,69,36,52.2%,365,10.1,2,40,5.3,2.4,24.3,1
Dorial Green-Beckham,PHI,23,wr,15,7,74,36,48.6%,392,10.9,2,26,5.3,2.4,26.1,0
Hunter Henry,SDG,22,TE,15,10,53,36,67.9%,478,13.3,8,59,9.0,2.4,31.9,1
Dwayne Allen,IND,26,tb/TE,14,14,52,35,67.3%,406,11.6,6,23,7.8,2.5,29.0,1
Taylor Gabriel,ATL,25,wr,13,3,50,35,70.0%,579,16.5,6,76,11.6,2.7,44.5,0
Allen Hurns,JAX,25,WR,11,11,76,35,46.1%,477,13.6,3,42,6.3,3.2,43.4,1
Rashad Jennings,NYG,31,RB,13,12,42,35,83.3%,201,5.7,1,24,4.8,2.7,15.5,1
JJ Nelson,ARI,24,wr,15,6,74,34,45.9%,568,16.7,6,80,7.7,2.3,37.9,1
Terrance West,BAL,25,RB,16,13,45,34,75.6%,236,6.9,1,17,5.2,2.1,14.8,2
Corey Coleman,CLE,22,WR,10,10,73,33,45.2%,413,12.5,3,58,5.7,3.3,41.3,0
Phillip Dorsett,IND,23,wr,15,7,59,33,55.9%,528,16.0,2,64,8.9,2.2,35.2,1
Andrew Hawkins,CLE,30,wr,16,5,54,33,61.1%,324,9.8,3,33,6.0,2.1,20.3,0
Latavius Murray,OAK,26,RB,14,12,43,33,76.7%,264,8.0,0,39,6.1,2.4,18.9,2
Breshad Perriman,BAL,23,wr,16,1,66,33,50.0%,499,15.1,3,53,7.6,2.1,31.2,0
Eddie Royal,CHI,30,wr,9,1,43,33,76.7%,369,11.2,2,64,8.6,3.7,41.0,2
Clive Walford,OAK,25,te/wr,15,8,52,33,63.5%,359,10.9,3,31,6.9,2.2,23.9,0
Spencer Ware,KAN,25,RB,14,14,42,33,78.6%,447,13.5,2,46,10.6,2.4,31.9,4
Matt Asiata,MIN,29,rb,16,6,38,32,84.2%,263,8.2,0,31,6.9,2.0,16.4,1
Ezekiel Elliott,DAL,21,RB,15,15,39,32,82.1%,363,11.3,1,83,9.3,2.1,24.2,5
Malcolm Mitchell,NWE,24,rb/wr,14,6,48,32,66.7%,401,12.5,4,56,8.4,2.3,28.6,0
Devontae Booker,DEN,24,rb,16,6,45,31,68.9%,265,8.5,1,43,5.9,1.9,16.6,4
Tevin Coleman,ATL,23,,13,0,40,31,77.5%,421,13.6,3,49,10.5,2.4,32.4,1
Lamar Miller,HOU,25,RB,14,14,39,31,79.5%,188,6.1,1,16,4.8,2.2,13.4,2
Albert Wilson,KAN,24,wr,16,5,51,31,60.8%,279,9.0,2,42,5.5,1.9,17.4,0
Jared Cook,GNB,29,tb/te,10,5,51,30,58.8%,377,12.6,1,47,7.4,3.0,37.7,1
Kenneth Dixon,BAL,22,,12,0,41,30,73.2%,162,5.4,1,16,4.0,2.5,13.5,1
Matt Forte,NYJ,31,RB,14,13,43,30,69.8%,263,8.8,1,40,6.1,2.1,18.8,1
Donte Moncrief,IND,23,wr,9,7,56,30,53.6%,307,10.2,7,39,5.5,3.3,34.1,0
Richard Rodgers,GNB,24,te,16,6,47,30,63.8%,271,9.0,2,22,5.8,1.9,16.9,0
Julius Thomas,JAX,28,te,9,6,51,30,58.8%,281,9.4,4,24,5.5,3.3,31.2,0
Kamar Aiken,BAL,27,wr,16,6,50,29,58.0%,328,11.3,1,29,6.6,1.8,20.5,0
Garrett Celek,SFO,28,te,16,6,50,29,58.0%,350,12.1,3,31,7.0,1.8,21.9,2
Shaun Draughn,SFO,29,rb,16,1,39,29,74.4%,263,9.1,2,29,6.7,1.8,16.4,1
Tyler Eifert,CIN,26,te,8,2,47,29,61.7%,394,13.6,5,71,8.4,3.6,49.3,0
Marquise Goodwin,BUF,26,WR,15,9,68,29,42.6%,431,14.9,3,84,6.3,1.9,28.7,0
Jordan Howard,CHI,22,RB,15,13,50,29,58.0%,298,10.3,1,34,6.0,1.9,19.9,2
Jalen Richard,OAK,23,,16,0,39,29,74.4%,194,6.7,2,29,5.0,1.8,12.1,0
Kendall Wright,TEN,27,wr,11,4,42,29,69.0%,416,14.3,3,48,9.9,2.6,37.8,0
Sammy Watkins,BUF,23,WR,8,8,52,28,53.8%,430,15.4,2,62,8.3,3.5,53.8,0
Charcandrick West,KAN,25,rb,15,2,34,28,82.4%,188,6.7,2,28,5.5,1.9,12.5,0
Jay Ajayi,MIA,23,RB,15,12,35,27,77.1%,151,5.6,0,15,4.3,1.8,10.1,4
Corey Brown,CAR,25,WR,16,8,53,27,50.9%,276,10.2,1,27,5.2,1.7,17.3,1
Carlos Hyde,SFO,26,RB,13,13,33,27,81.8%,163,6.0,3,19,4.9,2.1,12.5,5
Brandon Coleman,NOR,24,wr,16,4,38,26,68.4%,281,10.8,3,38,7.4,1.6,17.6,0
Dion Sims,MIA,25,TE,14,11,35,26,74.3%,256,9.8,4,28,7.3,1.9,18.3,0
Robert Turbin,IND,27,,15,0,35,26,74.3%,179,6.9,1,19,5.1,1.7,11.9,0
Rob Gronkowski,NWE,27,te,8,6,38,25,65.8%,540,21.6,3,53,14.2,3.1,67.5,0
C.J. Uzomah,CIN,23,TE,10,8,38,25,65.8%,234,9.4,1,54,6.2,2.5,23.4,0
Fozzy Whittaker,CAR,27,,16,0,33,25,75.8%,226,9.0,0,25,6.8,1.6,14.1,1
Vance McDonald,SFO,26,TE,11,11,45,24,53.3%,391,16.3,4,75,8.7,2.2,35.5,0
Charles Sims,TAM,26,rb,7,2,32,24,75.0%,190,7.9,1,33,5.9,3.4,27.1,1
Bryan Walters,JAX,29,wr,10,3,34,24,70.6%,231,9.6,2,23,6.8,2.4,23.1,1
Danny Amendola,NWE,31,wr,12,4,29,23,79.3%,243,10.6,4,32,8.4,1.9,20.3,3
Devin Funchess,CAR,22,wr,15,7,58,23,39.7%,371,16.1,4,48,6.4,1.5,24.7,0
Russell Shepard,TAM,26,wr,14,4,40,23,57.5%,341,14.8,2,24,8.5,1.6,24.4,0
Damien Williams,MIA,24,,15,0,32,23,71.9%,249,10.8,3,58,7.8,1.5,16.6,1
Virgil Green,DEN,28,TE,12,11,37,22,59.5%,237,10.8,1,31,6.4,1.8,19.8,0
Tim Hightower,NOR,30,rb,16,1,26,22,84.6%,200,9.1,1,50,7.7,1.4,12.5,0
Christine Michael,2TM,26,,15,7,29,22,75.9%,107,4.9,1,13,3.7,1.5,7.1,2
Jacob Tamme,ATL,31,te,8,5,31,22,71.0%,210,9.5,3,19,6.8,2.8,26.3,0
Deonte Thompson,CHI,27,wr,16,6,36,22,61.1%,249,11.3,2,24,6.9,1.4,15.6,1
Sammie Coates,PIT,23,wr,14,5,49,21,42.9%,435,20.7,2,72,8.9,1.5,31.1,0
Justin Hardy,ATL,25,wr,16,3,31,21,67.7%,203,9.7,4,27,6.5,1.3,12.7,0
Jeremy Hill,CIN,24,RB,15,13,27,21,77.8%,174,8.3,0,25,6.4,1.4,11.6,0
Jordan Norwood,DEN,30,wr,14,6,35,21,60.0%,232,11.0,1,36,6.6,1.5,16.6,5
Paul Richardson,SEA,24,,15,0,36,21,58.3%,288,13.7,1,39,8.0,1.4,19.2,0
Josh Ferguson,IND,23,,16,0,26,20,76.9%,136,6.8,0,14,5.2,1.3,8.5,1
Justin Forsett,3TM,31,,9,6,27,20,74.1%,85,4.3,0,11,3.1,2.2,9.4,2
Chris Ivory,JAX,28,rb,11,1,28,20,71.4%,186,9.3,0,37,6.6,1.8,16.9,5
Charles Johnson,MIN,27,wr,16,7,37,20,54.1%,232,11.6,0,40,6.3,1.3,14.5,0
Marcedes Lewis,JAX,32,TE,10,10,30,20,66.7%,169,8.5,1,37,5.6,2.0,16.9,0
Bobby Rainey,NYG,29,,15,0,25,20,80.0%,153,7.7,0,24,6.1,1.3,10.2,1
Aldrick Robinson,ATL,28,wr,16,1,32,20,62.5%,323,16.2,2,59,10.1,1.3,20.2,0
Torrey Smith,SFO,27,WR,12,12,49,20,40.8%,267,13.4,3,53,5.4,1.7,22.3,0
Josh Bellamy,CHI,27,wr,16,2,38,19,50.0%,282,14.8,1,31,7.4,1.2,17.6,0
Austin Hooper,ATL,22,te,14,3,27,19,70.4%,271,14.3,3,44,10.0,1.4,19.4,0
Ben Koyack,JAX,23,te,14,7,24,19,79.2%,161,8.5,1,17,6.7,1.4,11.5,0
Jeremy Langford,CHI,25,rb,12,3,27,19,70.4%,142,7.5,0,19,5.3,1.6,11.8,2
Charone Peake,NYJ,24,,15,1,35,19,54.3%,186,9.8,0,27,5.3,1.3,12.4,0
Chester Rogers,IND,22,wr,14,2,34,19,55.9%,273,14.4,0,36,8.0,1.4,19.5,2
James Starks,GNB,30,rb,9,4,25,19,76.0%,134,7.1,2,31,5.4,2.1,14.9,1
Kevin White,CHI,24,wr,4,4,36,19,52.8%,187,9.8,0,32,5.2,4.8,46.8,0
Ladarius Green,PIT,26,te,6,2,34,18,52.9%,304,16.9,1,37,8.9,3.0,50.7,0
Ricardo Louis,CLE,22,fb/wr,16,3,35,18,51.4%,205,11.4,0,42,5.9,1.1,12.8,1
Mychal Rivera,OAK,26,te,13,2,25,18,72.0%,192,10.7,1,27,7.7,1.4,14.8,0
Rod Streater,SFO,28,wr,16,2,27,18,66.7%,191,10.6,2,25,7.1,1.1,11.9,0
DeAngelo Williams,PIT,33,rb,9,4,27,18,66.7%,118,6.6,2,20,4.4,2.0,13.1,0
Zach Zenner,DET,25,rb,14,4,23,18,78.3%,196,10.9,0,33,8.5,1.3,14.0,1
Rex Burkhead,CIN,26,rb,16,1,20,17,85.0%,145,8.5,0,18,7.3,1.1,9.1,1
Cody Core,CIN,22,wr,8,4,27,17,63.0%,200,11.8,0,50,7.4,2.1,25.0,0
Cobi Hamilton,PIT,26,WR,11,8,28,17,60.7%,234,13.8,2,39,8.4,1.5,21.3,0
Demetrius Harris,KAN,25,TE,16,11,31,17,54.8%,123,7.2,1,13,4.0,1.1,7.7,1
Dion Lewis,NWE,26,rb,7,5,24,17,70.8%,94,5.5,0,16,3.9,2.4,13.4,1
C.J. Prosise,SEA,22,rb,6,2,19,17,89.5%,208,12.2,0,43,10.9,2.8,34.7,0
DeAndre Washington,OAK,23,rb,14,2,23,17,73.9%,115,6.8,0,18,5.0,1.2,8.2,1
Jerell Adams,NYG,24,te,13,2,21,16,76.2%,122,7.6,1,14,5.8,1.2,9.4,1
C.J. Anderson,DEN,25,rb,7,7,24,16,66.7%,128,8.0,1,25,5.3,2.3,18.3,0
Daniel Brown,2TM,24,,8,3,20,16,80.0%,124,7.8,1,12,6.2,2.0,15.5,0
Brice Butler,DAL,26,wr,16,3,32,16,50.0%,219,13.7,3,41,6.8,1.0,13.7,0
Benny Cunningham,LAR,26,,11,0,21,16,76.2%,91,5.7,0,12,4.3,1.5,8.3,1
A.J. Derby,2TM,25,,10,3,20,16,80.0%,160,10.0,0,17,8.0,1.6,16.0,1
Lance Dunbar,DAL,26,,13,0,24,16,66.7%,122,7.6,0,16,5.1,1.2,9.4,1
Josh Huff,2TM,25,,10,2,23,16,69.6%,113,7.1,1,17,4.9,1.6,11.3,0
John Kuhn,NOR,34,fb,16,3,20,16,80.0%,70,4.4,1,11,3.5,1.0,4.4,0
Jordan Taylor,DEN,24,,16,0,25,16,64.0%,209,13.1,2,35,8.4,1.0,13.1,1
Larry Donnell,NYG,28,te,14,6,22,15,68.2%,92,6.1,1,15,4.2,1.1,6.6,1
Harry Douglas,TEN,32,wr,11,2,22,15,68.2%,210,14.0,0,35,9.5,1.4,19.1,0
Josh Hill,NOR,26,TE,9,8,22,15,68.2%,149,9.9,1,35,6.8,1.7,16.6,0
Vincent Jackson,TAM,33,wr,5,5,32,15,46.9%,173,11.5,0,18,5.4,3.0,34.6,0
Braxton Miller,HOU,24,wr,10,6,28,15,53.6%,99,6.6,1,12,3.5,1.5,9.9,0
Paul Perkins,NYG,22,rb,14,1,24,15,62.5%,162,10.8,0,67,6.8,1.1,11.6,1
Erik Swoope,IND,24,te,16,4,22,15,68.2%,297,19.8,1,45,13.5,0.9,18.6,0
Luke Willson,SEA,26,te/wr,11,6,21,15,71.4%,129,8.6,2,19,6.1,1.4,11.7,0
Brent Celek,PHI,31,te/wr,16,8,19,14,73.7%,155,11.1,0,24,8.2,0.9,9.7,1
Pharoh Cooper,LAR,21,wr,10,3,20,14,70.0%,106,7.6,0,23,5.3,1.4,10.6,0
Darren Fells,ARI,30,te,14,7,18,14,77.8%,154,11.0,1,37,8.6,1.0,11.0,0
MarQueis Gray,MIA,27,te,16,7,17,14,82.4%,174,12.4,0,53,10.2,0.9,10.9,0
Andre Holmes,OAK,28,wr,16,2,25,14,56.0%,126,9.0,3,23,5.0,0.9,7.9,0
Jalin Marshall,NYJ,21,wr,10,1,23,14,60.9%,162,11.6,2,27,7.0,1.4,16.2,4
Doug Martin,TAM,27,RB,8,8,16,14,87.5%,134,9.6,0,27,8.4,1.8,16.8,1
Walt Powell,BUF,25,fb/wr,9,2,25,14,56.0%,142,10.1,0,35,5.7,1.6,15.8,0
Andre Roberts,DET,28,wr,16,1,25,14,56.0%,188,13.4,1,44,7.5,0.9,11.8,2
Jaelen Strong,HOU,22,wr,8,2,24,14,58.3%,131,9.4,0,36,5.5,1.8,16.4,0
Kenneth Farrow,SDG,23,rb,13,2,16,13,81.3%,70,5.4,0,16,4.4,1.0,5.4,2
Jonathan Grimes,HOU,27,,10,0,18,13,72.2%,94,7.2,0,15,5.2,1.3,9.4,0
Chris Harper,SFO,23,wr,9,2,21,13,61.9%,133,10.2,0,19,6.3,1.4,14.8,0
Derrick Henry,TEN,22,rb,15,2,15,13,86.7%,137,10.5,0,29,9.1,0.9,9.1,0
Ryan Mathews,PHI,29,RB,13,8,14,13,92.9%,115,8.8,1,27,8.2,1.0,8.8,3
Thomas Rawls,SEA,23,rb,9,7,17,13,76.5%,96,7.4,0,20,5.6,1.4,10.7,0
Jacquizz Rodgers,TAM,26,rb,10,5,16,13,81.3%,98,7.5,0,21,6.1,1.3,9.8,0
