Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
Devontae Booker,DEN,26,,16,0,51,38,74.5%,275,7.2,0,30,5.4,2.4,17.2,1
Randall Cobb,GNB,28,wr,9,6,61,38,62.3%,383,10.1,2,75,6.3,4.2,42.6,2
Keelan Cole,JAX,25,WR,16,11,70,38,54.3%,491,12.9,1,35,7.0,2.4,30.7,2
Quincy Enunwa,NYJ,26,WR,11,10,68,38,55.9%,449,11.8,1,42,6.6,3.5,40.8,2
Jacquizz Rodgers,TAM,28,,16,0,45,38,84.4%,304,8.0,0,24,6.8,2.4,19.0,1
Marquez Valdes-Scantling,GNB,24,WR,16,10,73,38,52.1%,581,15.3,2,60,8.0,2.4,36.3,0
Jermaine Kearse,NYJ,28,WR,14,9,76,37,48.7%,371,10.0,1,29,4.9,2.6,26.5,0
Kenny Stills,MIA,26,WR,15,15,64,37,57.8%,553,14.9,6,75,8.6,2.5,36.9,1
Taywan Taylor,TEN,23,wr,13,5,56,37,66.1%,466,12.6,1,55,8.3,2.8,35.8,1
Ryan Switzer,PIT,24,wr,16,1,44,36,81.8%,253,7.0,1,24,5.8,2.3,15.8,2
Ian Thomas,CAR,22,te,16,6,49,36,73.5%,333,9.3,2,31,6.8,2.3,20.8,0
Javorius Allen,BAL,27,,14,0,43,35,81.4%,196,5.6,2,17,4.6,2.5,14.0,1
Giovani Bernard,CIN,27,rb,12,4,48,35,72.9%,218,6.2,0,26,4.5,2.9,18.2,0
Ryan Grant,IND,28,WR,14,10,52,35,67.3%,334,9.5,1,23,6.4,2.5,23.9,0
Chris Hogan,NWE,30,wr,16,7,55,35,63.6%,532,15.2,3,63,9.7,2.2,33.3,0
Marvin Jones,DET,28,WR,9,9,62,35,56.5%,508,14.5,5,39,8.2,3.9,56.4,0
Phillip Lindsay,DEN,24,RB,15,8,47,35,74.5%,241,6.9,1,29,5.1,2.3,16.1,0
Laquon Treadwell,MIN,23,wr,15,7,53,35,66.0%,302,8.6,1,22,5.7,2.3,20.1,0
Ben Watson,NOR,38,te,16,4,46,35,76.1%,400,11.4,2,32,8.7,2.2,25.0,0
Mark Andrews,BAL,22,te,16,3,50,34,68.0%,552,16.2,3,74,11.0,2.1,34.5,0
Mike Davis,SEA,25,rb,15,2,42,34,81.0%,214,6.3,1,18,5.1,2.3,14.3,0
O.J. Howard,TAM,24,TE,10,8,48,34,70.8%,565,16.6,5,75,11.8,3.4,56.5,0
LeSean McCoy,BUF,30,RB,14,13,46,34,73.9%,238,7.0,0,24,5.2,2.4,17.0,0
Ricky Seals-Jones,ARI,23,te,15,5,69,34,49.3%,343,10.1,1,40,5.0,2.3,22.9,0
Gerald Everett,LAR,24,,16,0,50,33,66.0%,320,9.7,3,40,6.4,2.1,20.0,0
Michael Gallup,DAL,22,WR,16,8,68,33,48.5%,507,15.4,2,49,7.5,2.1,31.7,0
Dallas Goedert,PHI,23,TE,16,8,44,33,75.0%,334,10.1,4,32,7.6,2.1,20.9,0
Anthony Miller,CHI,24,wr,15,4,54,33,61.1%,423,12.8,7,55,7.8,2.2,28.2,1
Tevin Coleman,ATL,25,RB,16,14,44,32,72.7%,276,8.6,5,39,6.3,2.0,17.3,2
Chris Conley,KAN,26,WR,16,13,52,32,61.5%,334,10.4,5,27,6.4,2.0,20.9,2
Phillip Dorsett,NWE,25,wr,16,2,42,32,76.2%,290,9.1,3,20,6.9,2.0,18.1,0
Will Fuller,HOU,24,wr,7,7,45,32,71.1%,503,15.7,4,73,11.2,4.6,71.9,0
Kerryon Johnson,DET,21,rb/wr,10,7,39,32,82.1%,213,6.7,1,24,5.5,3.2,21.3,1
Bruce Ellington,2TM,27,,7,3,42,31,73.8%,224,7.2,1,23,5.3,4.4,32.0,1
Jeff Heuerman,DEN,26,TE,11,10,48,31,64.6%,281,9.1,2,36,5.9,2.8,25.5,0
Cameron Brate,TAM,27,te,16,2,49,30,61.2%,289,9.6,6,21,5.9,1.9,18.1,1
DaeSean Hamilton,DEN,23,wr,14,5,45,30,66.7%,243,8.1,2,24,5.4,2.1,17.4,0
Jesse James,PIT,24,te,16,7,39,30,76.9%,423,14.1,2,51,10.8,1.9,26.4,0
Kyle Juszczyk,SFO,27,FB,16,14,41,30,73.2%,324,10.8,1,56,7.9,1.9,20.3,2
Jamison Crowder,WAS,25,wr,9,7,49,29,59.2%,388,13.4,2,79,7.9,3.2,43.1,0
Josh Reynolds,LAR,23,WR,16,8,53,29,54.7%,402,13.9,5,33,7.6,1.8,25.1,0
Nick Vannett,SEA,25,TE,15,9,43,29,67.4%,269,9.3,3,32,6.3,1.9,17.9,1
Keke Coutee,HOU,21,wr,6,2,41,28,68.3%,287,10.3,1,40,7.0,4.7,47.8,0
Antonio Gates,LAC,38,te,16,1,45,28,62.2%,333,11.9,2,27,7.4,1.8,20.8,1
