Player,Tm,Age,Pos,G,GS,0-19 FGA,0-19 FGM,20-29 FGA,20-29 FGM,30-39 FGA,30-39 FGM,40-49 FGA,40-49 FGM,50+ FGA,50+ FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck ,Y/P
Kai Forbath,MIN,29,k,7,0,,,5,5,5,5,4,4,1,1,15,15,100.0%,14,11,78.6%,,,,,
Josh Brown,NYG,37,k,5,0,1,1,3,3,3,3,4,4,1,,12,11,91.7%,9,9,100.0%,,,,,
Robbie Gould,NYG,34,K,10,0,,,3,3,3,3,4,4,,,10,10,100.0%,23,20,87.0%,,,,,
Randy Bullock,3TM,27,,5,0,,,4,4,2,2,3,2,,,9,8,88.9%,10,9,90.0%,,,,,
Patrick Murray,CLE,25,k,2,0,,,,,1,1,,,1,,2,1,50.0%,4,3,75.0%,,,,,
Bradley Pinion,SFO,22,P,16,0,,,,,,,,,,,,,,,,,100,4402,65,0,44.0
Johnny Hekker,LAR,26,P,16,0,,,,,,,,,,,,,,,,,98,4680,78,0,47.8
Brad Wing,NYG,25,P,16,0,,,,,,,,,,,,,,,,,93,4297,63,0,46.2
Matt Darr,MIA,24,P,16,0,,,,,,,,,,,,,,,,,90,3991,66,0,44.3
Riley Dixon,DEN,23,P,16,0,,,,,,,,,,,,,,,,,89,4068,68,0,45.7
Britton Colquitt,CLE,31,P,16,0,,,,,,,,,,,,,,,,,83,3761,65,0,45.3
Marquette King,OAK,28,P,16,0,,,,,,,,,,,,,,,,,81,3937,72,0,48.6
Sam Koch,BAL,34,P,16,0,,,,,,,,,,,,,,,,,80,3665,68,0,45.8
Kevin Huber,CIN,31,P,16,0,,,,,,,,,,,,,,,,,78,3613,72,0,46.3
Brett Kern,TEN,30,P,16,0,,,,,,,,,,,,,,,,,77,3402,71,0,44.2
Brad Nortman,JAX,27,P,16,0,,,,,,,,,,,,,,,,,77,3589,78,0,46.6
Dustin Colquitt,KAN,34,P,16,0,,,,,,,,,,,,,,,,,76,3427,64,0,45.1
Lac Edwards,NYJ,24,P,16,0,,,,,,,,,,,,,,,,,75,3059,59,1,40.8
Colton Schmidt,BUF,26,P,16,0,,,,,,,,,,,,,,,,,75,3183,58,0,42.4
Jeff Locke,MIN,27,P,16,0,,,,,,,,,,,,,,,,,74,3155,72,0,42.6
Ryan Allen,NWE,26,P,16,0,,,,,,,,,,,,,,,,,72,3217,58,0,44.7
Shane Lechler,HOU,40,P,16,0,,,,,,,,,,,,,,,,,72,3423,62,0,47.5
Jon Ryan,SEA,35,P,16,0,,,,,,,,,,,,,,,,,71,3126,64,1,44.0
Bryan Anger,TAM,28,P,16,0,,,,,,,,,,,,,,,,,70,3215,59,0,45.9
Jordan Berry,PIT,25,P,16,0,,,,,,,,,,,,,,,,,68,3100,64,1,45.6
Pat O'Donnell,CHI,25,P,16,0,,,,,,,,,,,,,,,,,68,2994,67,0,44.0
Donnie Jones,PHI,36,P,16,0,,,,,,,,,,,,,,,,,63,2888,72,0,45.8
Sam Martin,DET,26,P,16,0,,,,,,,,,,,,,,,,,62,3010,63,0,48.5
Drew Kaser,SDG,23,P,16,0,,,,,,,,,,,,,,,,,59,2731,69,0,46.3
Chris Jones,DAL,27,P,16,0,,,,,,,,,,,,,,,,,58,2661,66,1,45.9
Thomas Morstead,NOR,30,P,16,0,,,,,,,,,,,,,,,,,57,2751,66,0,48.3
Jake Schum,GNB,27,P,16,0,,,,,,,,,,,,,,,,,56,2420,65,0,43.2
Pat McAfee,IND,29,P,16,0,,,,,,,,,,,,,,,,,55,2711,74,1,49.3
Tress Way,WAS,26,P,16,0,,,,,,,,,,,,,,,,,49,2209,61,0,45.1
Matthew Bosher,ATL,29,P,15,0,,,,,,,,,,,,,,,,,44,2060,68,0,46.8
Andy Lee,CAR,34,P,9,0,,,,,,,,,,,,,,,,,36,1769,76,0,49.1
Michael Palardy,CAR,24,p,7,0,,,,,,,,,,,,,,,,,36,1531,56,0,42.5
Ryan Quigley,ARI,26,p,6,0,,,,,,,,,,,,,,,,,34,1416,55,1,41.6
Drew Butler,ARI,27,P,7,0,,,,,,,,,,,,,,,,,32,1350,62,0,42.2
Matt Wile,2TM,24,,4,0,,,,,,,,,,,,,,,,,12,553,59,1,46.1
