Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
Jermaine Gresham,ARI,29,TE,14,14,46,33,71.7%,322,9.8,2,21,7.0,2.4,23.0,0
Kyle Juszczyk,SFO,26,FB,14,10,42,33,78.6%,315,9.5,1,44,7.5,2.4,22.5,2
Danny Woodhead,BAL,32,,8,0,39,33,84.6%,200,6.1,0,22,5.1,4.1,25.0,0
Kenyan Drake,MIA,23,rb,16,6,48,32,66.7%,239,7.5,1,47,5.0,2.0,14.9,2
Dion Lewis,NWE,27,RB,16,8,35,32,91.4%,214,6.7,3,20,6.1,2.0,13.4,0
David Njoku,CLE,21,te,16,5,60,32,53.3%,386,12.1,4,34,6.4,2.0,24.1,0
Jaron Brown,ARI,27,WR,16,8,69,31,44.9%,477,15.4,4,52,6.9,1.9,29.8,0
Cordarrelle Patterson,OAK,26,wr,16,2,42,31,73.8%,309,10.0,0,59,7.4,1.9,19.3,3
Martellus Bennett,2TM,30,,9,7,44,30,68.2%,286,9.5,0,33,6.5,3.3,31.8,0
Devontae Booker,DEN,25,,13,0,38,30,78.9%,275,9.2,0,29,7.2,2.3,21.2,2
Rex Burkhead,NWE,27,rb,10,3,36,30,83.3%,254,8.5,3,23,7.1,3.0,25.4,1
Ed Dickson,CAR,30,TE,16,12,48,30,62.5%,437,14.6,1,64,9.1,1.9,27.3,0
Antonio Gates,LAC,37,te,16,4,52,30,57.7%,316,10.5,3,27,6.1,1.9,19.8,0
T.J. Jones,DET,25,wr,14,6,49,30,61.2%,399,13.3,1,34,8.1,2.1,28.5,1
Joe Mixon,CIN,21,rb,14,7,34,30,88.2%,287,9.6,0,67,8.4,2.1,20.5,3
T.J. Yeldon,JAX,24,,10,0,41,30,73.2%,224,7.5,0,20,5.5,3.0,22.4,2
Bruce Ellington,HOU,26,wr,11,6,57,29,50.9%,330,11.4,2,35,5.8,2.6,30.0,1
Bennie Fowler,DEN,26,wr,16,4,56,29,51.8%,350,12.1,3,29,6.3,1.8,21.9,1
Frank Gore,IND,34,RB,16,16,38,29,76.3%,245,8.4,1,26,6.4,1.8,15.3,3
JJ Nelson,ARI,25,wr,16,5,61,29,47.5%,508,17.5,2,46,8.3,1.8,31.8,1
C.J. Anderson,DEN,26,RB,16,16,40,28,70.0%,224,8.0,1,25,5.6,1.8,14.0,1
Nick Boyle,BAL,24,TE,15,11,37,28,75.7%,203,7.3,0,16,5.5,1.9,13.5,0
Isaiah Crowell,CLE,24,RB,16,16,42,28,66.7%,182,6.5,0,38,4.3,1.8,11.4,1
Will Fuller,HOU,23,WR,10,10,50,28,56.0%,423,15.1,7,59,8.5,2.8,42.3,0
Kenny Golladay,DET,24,k/wr,11,5,48,28,58.3%,477,17.0,3,54,9.9,2.5,43.4,0
Tevin Coleman,ATL,24,fb/rb,15,3,39,27,69.2%,299,11.1,3,39,7.7,1.8,19.9,1
Austin Ekeler,LAC,22,,16,0,35,27,77.1%,279,10.3,3,38,8.0,1.7,17.4,2
Rashard Higgins,CLE,23,fb/wr,15,4,50,27,54.0%,312,11.6,2,56,6.2,1.8,20.8,1
Zay Jones,BUF,22,WR,15,10,74,27,36.5%,316,11.7,2,33,4.3,1.8,21.1,0
Ricardo Louis,CLE,23,WR,16,9,61,27,44.3%,357,13.2,0,37,5.9,1.7,22.3,0
Jordan Reed,WAS,27,te,6,5,35,27,77.1%,211,7.8,2,20,6.0,4.5,35.2,1
Jalen Richard,OAK,24,rb,16,1,36,27,75.0%,256,9.5,1,39,7.1,1.7,16.0,8
Charcandrick West,KAN,26,,13,0,34,27,79.4%,150,5.6,2,25,4.4,2.1,11.5,1
Dede Westbrook,JAX,24,wr,7,5,51,27,52.9%,339,12.6,1,29,6.6,3.9,48.4,1
Ezekiel Elliott,DAL,22,RB,10,10,38,26,68.4%,269,10.3,2,72,7.1,2.6,26.9,1
O.J. Howard,TAM,23,TE,14,14,39,26,66.7%,432,16.6,6,58,11.1,1.9,30.9,3
Donte Moncrief,IND,24,WR,12,8,47,26,55.3%,391,15.0,2,60,8.3,2.2,32.6,0
Ameer Abdullah,DET,24,RB,14,11,35,25,71.4%,162,6.5,1,22,4.6,1.8,11.6,2
Stephen Anderson,HOU,24,te,15,5,52,25,48.1%,342,13.7,1,42,6.6,1.7,22.8,0
Odell Beckham,NYG,25,wr,4,2,41,25,61.0%,302,12.1,3,48,7.4,6.3,75.5,0
Tyler Higbee,LAR,24,TE,16,16,45,25,55.6%,295,11.8,1,38,6.6,1.6,18.4,0
Dontrelle Inman,2TM,28,,12,7,44,25,56.8%,343,13.7,1,26,7.8,2.1,28.6,0
Jordan Matthews,BUF,25,wr,10,7,36,25,69.4%,282,11.3,1,47,7.8,2.5,28.2,1
Jamaal Williams,GNB,22,rb,16,7,34,25,73.5%,262,10.5,2,54,7.7,1.6,16.4,0
Jay Ajayi,2TM,24,,14,8,34,24,70.6%,158,6.6,1,32,4.6,1.7,11.3,3
Josh Bellamy,CHI,28,wr,15,7,46,24,52.2%,376,15.7,1,46,8.2,1.6,25.1,0
Rhett Ellison,NYG,29,TE,16,14,32,24,75.0%,235,9.8,2,27,7.3,1.5,14.7,0
Marcedes Lewis,JAX,33,TE,16,16,48,24,50.0%,318,13.3,5,37,6.6,1.5,19.9,0
Geronimo Allison,GNB,23,wr,15,2,39,23,59.0%,253,11.0,0,72,6.5,1.5,16.9,2
Trey Burton,PHI,26,te,15,1,31,23,74.2%,248,10.8,5,27,8.0,1.5,16.5,0
Jamaal Charles,DEN,31,,14,0,28,23,82.1%,129,5.6,0,20,4.6,1.6,9.2,2
Brandon Coleman,NOR,25,wr,16,6,37,23,62.2%,364,15.8,3,54,9.8,1.4,22.8,2
Corey Coleman,CLE,23,WR,9,8,58,23,39.7%,305,13.3,2,44,5.3,2.6,33.9,0
Alex Collins,BAL,23,RB,15,12,36,23,63.9%,187,8.1,0,37,5.2,1.5,12.5,4
Jordan Howard,CHI,23,RB,16,16,32,23,71.9%,125,5.4,0,12,3.9,1.4,7.8,1
Ty Montgomery,GNB,24,rb,8,5,31,23,74.2%,173,7.5,1,23,5.6,2.9,21.6,0
Bilal Powell,NYJ,29,RB,15,10,33,23,69.7%,170,7.4,0,31,5.2,1.5,11.3,1
Chester Rogers,IND,23,wr,11,4,37,23,62.2%,284,12.3,1,61,7.7,2.1,25.8,0
Tyler Boyd,CIN,23,wr,10,1,32,22,68.8%,225,10.2,2,49,7.0,2.2,22.5,0
Coby Fleener,NOR,29,,11,0,30,22,73.3%,295,13.4,2,33,9.8,2.0,26.8,0
Jeremy Kerley,NYJ,29,wr,8,2,27,22,81.5%,217,9.9,1,31,8.0,2.8,27.1,3
Nick O'Leary,BUF,25,te,15,5,32,22,68.8%,322,14.6,2,32,10.1,1.5,21.5,1
Samaje Perine,WAS,22,RB,16,8,24,22,91.7%,182,8.3,1,25,7.6,1.4,11.4,2
Matt Breida,SFO,22,,16,0,36,21,58.3%,180,8.6,1,32,5.0,1.3,11.3,1
John Brown,ARI,27,wr,10,5,55,21,38.2%,299,14.2,3,52,5.4,2.1,29.9,0
Garrett Celek,SFO,29,fb/TE,16,13,33,21,63.6%,336,16.0,4,61,10.2,1.3,21.0,0
A.J. Derby,2TM,26,,11,1,40,21,52.5%,244,11.6,2,29,6.1,1.9,22.2,1
Chris Ivory,JAX,29,rb,14,3,28,21,75.0%,175,8.3,1,29,6.3,1.5,12.5,2
Marlon Mack,IND,21,,14,0,33,21,63.6%,225,10.7,1,34,6.8,1.5,16.1,1
Demarcus Robinson,KAN,23,WR,16,8,39,21,53.8%,212,10.1,0,33,5.4,1.3,13.3,0
Kenny Britt,2TM,29,,12,4,43,20,46.5%,256,12.8,2,38,6.0,1.7,21.3,0
Benny Cunningham,CHI,27,,14,0,26,20,76.9%,240,12.0,2,40,9.2,1.4,17.1,1
Justin Hardy,ATL,26,wr,16,1,29,20,69.0%,221,11.1,3,27,7.6,1.3,13.8,1
Marshawn Lynch,OAK,31,RB,15,15,31,20,64.5%,151,7.6,0,26,4.9,1.3,10.1,1
Zach Miller,CHI,33,te,8,6,35,20,57.1%,236,11.8,2,29,6.7,2.5,29.5,0
Terrelle Pryor,WAS,28,wr,9,2,37,20,54.1%,240,12.0,1,44,6.5,2.2,26.7,0
Laquon Treadwell,MIN,22,wr,16,7,35,20,57.1%,200,10.0,0,25,5.7,1.3,12.5,1
Damien Williams,MIA,25,rb,11,4,28,20,71.4%,155,7.8,1,24,5.5,1.8,14.1,0
Michael Campanaro,BAL,26,,13,0,27,19,70.4%,173,9.1,1,18,6.4,1.5,13.3,4
Orleans Darkwa,NYG,25,RB,15,11,28,19,67.9%,116,6.1,0,13,4.1,1.3,7.7,1
Cody Latimer,DEN,25,wr,11,1,31,19,61.3%,287,15.1,2,32,9.3,1.7,26.1,1
Braxton Miller,HOU,25,wr,11,3,29,19,65.5%,162,8.5,1,57,5.6,1.7,14.7,0
Aldrick Robinson,SFO,29,wr,16,1,48,19,39.6%,260,13.7,2,45,5.4,1.2,16.3,0
Rod Smith,DAL,25,rb,15,1,23,19,82.6%,202,10.6,1,81,8.8,1.3,13.5,0
Josh Gordon,CLE,26,wr,5,5,42,18,42.9%,335,18.6,1,54,8.0,3.6,67.0,0
Demetrius Harris,KAN,26,te,16,7,35,18,51.4%,224,12.4,1,51,6.4,1.1,14.0,0
Lance Kendricks,GNB,29,TE,16,9,35,18,51.4%,203,11.3,1,51,5.8,1.1,12.7,0
Tavarres King,NYG,27,wr,8,3,37,18,48.6%,240,13.3,3,57,6.5,2.3,30.0,0
Brandon Marshall,NYG,33,wr,5,5,33,18,54.5%,154,8.6,0,18,4.7,3.6,30.8,0
Chris Moore,BAL,24,wr,13,4,38,18,47.4%,248,13.8,3,30,6.5,1.4,19.1,0
Eli Rogers,PIT,25,wr,14,4,36,18,50.0%,149,8.3,1,18,4.1,1.3,10.6,1
Jonnu Smith,TEN,22,TE/wr,16,13,30,18,60.0%,157,8.7,2,32,5.2,1.1,9.8,0
Jarius Wright,MIN,28,,16,0,25,18,72.0%,198,11.0,2,30,7.9,1.1,12.4,0
Darren Fells,DET,31,TE,16,13,26,17,65.4%,177,10.4,3,23,6.8,1.1,11.1,0
D.J. Foster,ARI,24,,7,0,28,17,60.7%,133,7.8,0,20,4.8,2.4,19.0,0
Elijah McGuire,NYJ,23,rb,16,2,26,17,65.4%,177,10.4,1,38,6.8,1.1,11.1,2
Greg Olsen,CAR,32,te,7,7,38,17,44.7%,191,11.2,1,30,5.0,2.4,27.3,0
Russell Shepard,CAR,27,wr,15,3,32,17,53.1%,202,11.9,1,40,6.3,1.1,13.5,1
Peyton Barber,TAM,23,rb,16,4,19,16,84.2%,114,7.1,0,34,6.0,1.0,7.1,2
Kendrick Bourne,SFO,22,,11,0,34,16,47.1%,257,16.1,0,54,7.6,1.5,23.4,0
Travaris Cadet,2TM,28,,9,0,19,16,84.2%,119,7.4,0,16,6.3,1.8,13.2,0
Gerald Everett,LAR,23,te,16,2,32,16,50.0%,244,15.3,2,69,7.6,1.0,15.3,1
Josh Hill,NOR,27,TE,16,11,22,16,72.7%,125,7.8,1,22,5.7,1.0,7.8,2
Mack Hollins,PHI,24,,16,0,22,16,72.7%,226,14.1,1,64,10.3,1.0,14.1,0
Taywan Taylor,TEN,22,wr,16,4,28,16,57.1%,231,14.4,1,53,8.3,1.0,14.4,0
Kamar Aiken,IND,28,wr,15,7,44,15,34.1%,133,8.9,0,21,3.0,1.0,8.9,0
Brice Butler,DAL,27,,13,0,23,15,65.2%,317,21.1,3,53,13.8,1.2,24.4,0
Mike Davis,SEA,24,rb,6,6,18,15,83.3%,131,8.7,0,23,7.3,2.5,21.8,0
Latavius Murray,MIN,27,RB,16,11,17,15,88.2%,103,6.9,0,28,6.1,0.9,6.4,1
Curtis Samuel,CAR,21,rb/wr,9,4,26,15,57.7%,115,7.7,0,23,4.4,1.7,12.8,0
Dion Sims,CHI,26,TE,14,14,29,15,51.7%,180,12.0,1,27,6.2,1.1,12.9,0
Maxx Williams,BAL,23,te/wr,11,8,18,15,83.3%,86,5.7,1,17,4.8,1.4,7.8,1
Luke Willson,SEA,27,te,16,7,22,15,68.2%,153,10.2,4,27,7.0,0.9,9.6,0
Kapri Bibbs,WAS,24,,3,0,17,14,82.4%,128,9.1,1,36,7.5,4.7,42.7,0
C.J. Fiedorowicz,HOU,26,te,5,5,22,14,63.6%,127,9.1,0,15,5.8,2.8,25.4,0
Virgil Green,DEN,29,TE,16,16,22,14,63.6%,191,13.6,1,44,8.7,0.9,11.9,0
Vance McDonald,PIT,27,te,10,7,24,14,58.3%,188,13.4,1,28,7.8,1.4,18.8,0
James O'Shaughnessy,JAX,25,te,16,1,24,14,58.3%,149,10.6,1,29,6.2,0.9,9.3,0
De'Anthony Thomas,KAN,24,wr,16,2,16,14,87.5%,143,10.2,2,57,8.9,0.9,8.9,1
Mike Tolbert,BUF,32,,12,0,17,14,82.4%,78,5.6,0,12,4.6,1.2,6.5,2
Tavon Austin,LAR,27,WR,16,9,22,13,59.1%,47,3.6,0,13,2.1,0.8,2.9,5
Daniel Brown,CHI,25,te,14,2,20,13,65.0%,129,9.9,0,17,6.5,0.9,9.2,0
Brent Celek,PHI,32,TE,16,10,24,13,54.2%,130,10.0,1,28,5.4,0.8,8.1,0
Jakeem Grant,MIA,25,,16,0,22,13,59.1%,203,15.6,2,65,9.2,0.8,12.7,2
Ryan Griffin,HOU,27,te,7,6,26,13,50.0%,158,12.2,1,35,6.1,1.9,22.6,0
Andre Holmes,BUF,29,wr,14,2,22,13,59.1%,120,9.2,3,36,5.5,0.9,8.6,0
Niles Paul,WAS,28,te/wr,14,8,19,13,68.4%,94,7.2,0,32,4.9,0.9,6.7,0
Wendell Smallwood,PHI,23,rb,8,3,18,13,72.2%,103,7.9,0,24,5.7,1.6,12.9,0
Jordan Taylor,DEN,25,wr,10,2,20,13,65.0%,142,10.9,0,30,7.1,1.3,14.2,1
