Rank,Name,Team,Position,Bye,Point Prediction,Injury Report
316,Jarius Wright,CAR,WR,7,47.4,
317,Isaiah McKenzie,BUF,WR,6,46.72,
318,Cody Core,CIN,WR,9,46.49,
319,Bennie Fowler,NYG,WR,11,46.47,
320,Nick Vannett,SEA,TE,11,38.45,
321,Equanimeous St. Brown,GB,WR,11,45.25,
322,Rishard Matthews,NO,WR,9,44.83,
323,Josh Oliver,JAC,TE,10,36.95,
324,Darren Waller,OAK,TE,6,36.54,
325,Trenton Cannon,NYJ,RB,4,43.12,
326,Damion Ratley,CLE,WR,7,43.83,
327,Brian Hill,ATL,RB,9,42.89,Undisclosed | Questionable for Week 1
328,Zach Gentry,PIT,TE,7,36.26,
329,Derrick Willies,CLE,WR,7,43.3,Collarbone | Questionable for Week 1
330,Malcolm Brown,LAR,RB,9,41.79,
331,Derek Carrier,OAK,TE,6,35.32,
332,Samaje Perine,WAS,RB,10,41.71,
333,Corey Coleman,NYG,WR,11,42.44,
334,Josh Hill,NO,TE,9,35.19,
335,Stephen Anderson,NE,TE,10,34.09,
336,Luke Stocker,ATL,TE,9,33.63,
337,Chris Ivory,FA,RB,,39.58,
338,Marvin Hall,CHI,WR,6,39.92,
339,Trent Taylor,SF,WR,4,39.83,
340,Andy Jones,DET,WR,5,39.42,
341,Hunter Renfrow,OAK,WR,6,39.2,
342,Kahale Warring,HOU,TE,10,32.56,Undisclosed | Out for Week 1
343,Jordan Akins,HOU,TE,10,31.98,
344,Juwann Winfree,DEN,WR,10,38.46,Calf | Questionable for Week 1
345,Eli Rogers,PIT,WR,7,38.28,
346,Marcus Murphy,BUF,RB,6,37.5,Elbow | Questionable for Week 1
347,J.J. Nelson,OAK,WR,6,38.06,
348,Josh Bellamy,NYJ,WR,4,37.89,
349,Alfred Morris,FA,RB,,36.92,
350,Pierre Garcon,FA,WR,,37.53,
351,Jason Croom,BUF,TE,6,31.14,Hamstring | Questionable for Week 1
352,Kelvin Benjamin,FA,WR,,37.47,
353,Chad Williams,ARI,WR,12,37.17,
354,Chris Moore,BAL,WR,8,37.03,
355,Chase Edmonds,ARI,RB,12,36.15,
356,Ameer Abdullah,MIN,RB,12,35.91,
357,Rod Smith,NYG,RB,11,35.61,
358,Jake Butt,DEN,TE,10,29.78,Knee | Questionable for Week 1
359,D.J. Chark,JAC,WR,10,35.8,
360,Kyle Juszczyk,SF,RB,4,34.86,
